stem,image_path,is_poisoned,poisoned,has_target,support_ratio,perturbed_area_ratio,linf,psnr,method,steps,seed,support_source,state_content_hash,semantic_bank_hash,source_manifest_hash,split_hash,variant_index,protocol_id,evidence_scope,hiding_gate_passed,mechanism_gate_passed,frozen_sdh_state_sha256,hiding_metrics_sha256,hiding_checkpoint_sha256,hiding_split_sha256,mechanism_metrics_sha256,mechanism_decision_sha256,mechanism_config_sha256,p1_state_sha256,secret_source_sha256
000019,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-C0/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/000019.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
000122,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-C0/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/000122.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
000221,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-C0/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/000221.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
000244,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-C0/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/000244.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
000307,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-C0/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/000307.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
000373,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-C0/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/000373.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
000680,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-C0/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/000680.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
000710,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-C0/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/000710.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
000777,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-C0/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/000777.png,0,0,1,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
001143,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-C0/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/001143.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
001231,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-C0/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/001231.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
001237,/root/tausb-sdh-runs/TAUSB-SDH-E2E-V0-S0-R4-SMOKE-C0/poisoned_datasets/tausb_sdh/steps40/seed0/images/train/001237.png,0,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_sdh,40,0,none,,,,,,,,,,,,,,,,,,
