name	shape	numel	dtype
model.0.bn.running_mean	(16,)	16	torch.float32
model.0.bn.running_var	(16,)	16	torch.float32
model.0.bn.num_batches_tracked	()	1	torch.int64
model.1.bn.running_mean	(32,)	32	torch.float32
model.1.bn.running_var	(32,)	32	torch.float32
model.1.bn.num_batches_tracked	()	1	torch.int64
model.2.cv1.bn.running_mean	(32,)	32	torch.float32
model.2.cv1.bn.running_var	(32,)	32	torch.float32
model.2.cv1.bn.num_batches_tracked	()	1	torch.int64
model.2.cv2.bn.running_mean	(32,)	32	torch.float32
model.2.cv2.bn.running_var	(32,)	32	torch.float32
model.2.cv2.bn.num_batches_tracked	()	1	torch.int64
model.2.m.0.cv1.bn.running_mean	(16,)	16	torch.float32
model.2.m.0.cv1.bn.running_var	(16,)	16	torch.float32
model.2.m.0.cv1.bn.num_batches_tracked	()	1	torch.int64
model.2.m.0.cv2.bn.running_mean	(16,)	16	torch.float32
model.2.m.0.cv2.bn.running_var	(16,)	16	torch.float32
model.2.m.0.cv2.bn.num_batches_tracked	()	1	torch.int64
model.3.bn.running_mean	(64,)	64	torch.float32
model.3.bn.running_var	(64,)	64	torch.float32
model.3.bn.num_batches_tracked	()	1	torch.int64
model.4.cv1.bn.running_mean	(64,)	64	torch.float32
model.4.cv1.bn.running_var	(64,)	64	torch.float32
model.4.cv1.bn.num_batches_tracked	()	1	torch.int64
model.4.cv2.bn.running_mean	(64,)	64	torch.float32
model.4.cv2.bn.running_var	(64,)	64	torch.float32
model.4.cv2.bn.num_batches_tracked	()	1	torch.int64
model.4.m.0.cv1.bn.running_mean	(32,)	32	torch.float32
model.4.m.0.cv1.bn.running_var	(32,)	32	torch.float32
model.4.m.0.cv1.bn.num_batches_tracked	()	1	torch.int64
model.4.m.0.cv2.bn.running_mean	(32,)	32	torch.float32
model.4.m.0.cv2.bn.running_var	(32,)	32	torch.float32
model.4.m.0.cv2.bn.num_batches_tracked	()	1	torch.int64
model.4.m.1.cv1.bn.running_mean	(32,)	32	torch.float32
model.4.m.1.cv1.bn.running_var	(32,)	32	torch.float32
model.4.m.1.cv1.bn.num_batches_tracked	()	1	torch.int64
model.4.m.1.cv2.bn.running_mean	(32,)	32	torch.float32
model.4.m.1.cv2.bn.running_var	(32,)	32	torch.float32
model.4.m.1.cv2.bn.num_batches_tracked	()	1	torch.int64
model.5.bn.running_mean	(128,)	128	torch.float32
model.5.bn.running_var	(128,)	128	torch.float32
model.5.bn.num_batches_tracked	()	1	torch.int64
model.6.cv1.bn.running_mean	(128,)	128	torch.float32
model.6.cv1.bn.running_var	(128,)	128	torch.float32
model.6.cv1.bn.num_batches_tracked	()	1	torch.int64
model.6.cv2.bn.running_mean	(128,)	128	torch.float32
model.6.cv2.bn.running_var	(128,)	128	torch.float32
model.6.cv2.bn.num_batches_tracked	()	1	torch.int64
model.6.m.0.cv1.bn.running_mean	(64,)	64	torch.float32
model.6.m.0.cv1.bn.running_var	(64,)	64	torch.float32
model.6.m.0.cv1.bn.num_batches_tracked	()	1	torch.int64
model.6.m.0.cv2.bn.running_mean	(64,)	64	torch.float32
model.6.m.0.cv2.bn.running_var	(64,)	64	torch.float32
model.6.m.0.cv2.bn.num_batches_tracked	()	1	torch.int64
model.6.m.1.cv1.bn.running_mean	(64,)	64	torch.float32
model.6.m.1.cv1.bn.running_var	(64,)	64	torch.float32
model.6.m.1.cv1.bn.num_batches_tracked	()	1	torch.int64
model.6.m.1.cv2.bn.running_mean	(64,)	64	torch.float32
model.6.m.1.cv2.bn.running_var	(64,)	64	torch.float32
model.6.m.1.cv2.bn.num_batches_tracked	()	1	torch.int64
model.7.bn.running_mean	(256,)	256	torch.float32
model.7.bn.running_var	(256,)	256	torch.float32
model.7.bn.num_batches_tracked	()	1	torch.int64
model.8.cv1.bn.running_mean	(256,)	256	torch.float32
model.8.cv1.bn.running_var	(256,)	256	torch.float32
model.8.cv1.bn.num_batches_tracked	()	1	torch.int64
model.8.cv2.bn.running_mean	(256,)	256	torch.float32
model.8.cv2.bn.running_var	(256,)	256	torch.float32
model.8.cv2.bn.num_batches_tracked	()	1	torch.int64
model.8.m.0.cv1.bn.running_mean	(128,)	128	torch.float32
model.8.m.0.cv1.bn.running_var	(128,)	128	torch.float32
model.8.m.0.cv1.bn.num_batches_tracked	()	1	torch.int64
model.8.m.0.cv2.bn.running_mean	(128,)	128	torch.float32
model.8.m.0.cv2.bn.running_var	(128,)	128	torch.float32
model.8.m.0.cv2.bn.num_batches_tracked	()	1	torch.int64
model.9.cv1.bn.running_mean	(128,)	128	torch.float32
model.9.cv1.bn.running_var	(128,)	128	torch.float32
model.9.cv1.bn.num_batches_tracked	()	1	torch.int64
model.9.cv2.bn.running_mean	(256,)	256	torch.float32
model.9.cv2.bn.running_var	(256,)	256	torch.float32
model.9.cv2.bn.num_batches_tracked	()	1	torch.int64
model.12.cv1.bn.running_mean	(128,)	128	torch.float32
model.12.cv1.bn.running_var	(128,)	128	torch.float32
model.12.cv1.bn.num_batches_tracked	()	1	torch.int64
model.12.cv2.bn.running_mean	(128,)	128	torch.float32
model.12.cv2.bn.running_var	(128,)	128	torch.float32
model.12.cv2.bn.num_batches_tracked	()	1	torch.int64
model.12.m.0.cv1.bn.running_mean	(64,)	64	torch.float32
model.12.m.0.cv1.bn.running_var	(64,)	64	torch.float32
model.12.m.0.cv1.bn.num_batches_tracked	()	1	torch.int64
model.12.m.0.cv2.bn.running_mean	(64,)	64	torch.float32
model.12.m.0.cv2.bn.running_var	(64,)	64	torch.float32
model.12.m.0.cv2.bn.num_batches_tracked	()	1	torch.int64
model.15.cv1.bn.running_mean	(64,)	64	torch.float32
model.15.cv1.bn.running_var	(64,)	64	torch.float32
model.15.cv1.bn.num_batches_tracked	()	1	torch.int64
model.15.cv2.bn.running_mean	(64,)	64	torch.float32
model.15.cv2.bn.running_var	(64,)	64	torch.float32
model.15.cv2.bn.num_batches_tracked	()	1	torch.int64
model.15.m.0.cv1.bn.running_mean	(32,)	32	torch.float32
model.15.m.0.cv1.bn.running_var	(32,)	32	torch.float32
model.15.m.0.cv1.bn.num_batches_tracked	()	1	torch.int64
model.15.m.0.cv2.bn.running_mean	(32,)	32	torch.float32
model.15.m.0.cv2.bn.running_var	(32,)	32	torch.float32
model.15.m.0.cv2.bn.num_batches_tracked	()	1	torch.int64
model.16.bn.running_mean	(64,)	64	torch.float32
model.16.bn.running_var	(64,)	64	torch.float32
model.16.bn.num_batches_tracked	()	1	torch.int64
model.18.cv1.bn.running_mean	(128,)	128	torch.float32
model.18.cv1.bn.running_var	(128,)	128	torch.float32
model.18.cv1.bn.num_batches_tracked	()	1	torch.int64
model.18.cv2.bn.running_mean	(128,)	128	torch.float32
model.18.cv2.bn.running_var	(128,)	128	torch.float32
model.18.cv2.bn.num_batches_tracked	()	1	torch.int64
model.18.m.0.cv1.bn.running_mean	(64,)	64	torch.float32
model.18.m.0.cv1.bn.running_var	(64,)	64	torch.float32
model.18.m.0.cv1.bn.num_batches_tracked	()	1	torch.int64
model.18.m.0.cv2.bn.running_mean	(64,)	64	torch.float32
model.18.m.0.cv2.bn.running_var	(64,)	64	torch.float32
model.18.m.0.cv2.bn.num_batches_tracked	()	1	torch.int64
model.19.bn.running_mean	(128,)	128	torch.float32
model.19.bn.running_var	(128,)	128	torch.float32
model.19.bn.num_batches_tracked	()	1	torch.int64
model.21.cv1.bn.running_mean	(256,)	256	torch.float32
model.21.cv1.bn.running_var	(256,)	256	torch.float32
model.21.cv1.bn.num_batches_tracked	()	1	torch.int64
model.21.cv2.bn.running_mean	(256,)	256	torch.float32
model.21.cv2.bn.running_var	(256,)	256	torch.float32
model.21.cv2.bn.num_batches_tracked	()	1	torch.int64
model.21.m.0.cv1.bn.running_mean	(128,)	128	torch.float32
model.21.m.0.cv1.bn.running_var	(128,)	128	torch.float32
model.21.m.0.cv1.bn.num_batches_tracked	()	1	torch.int64
model.21.m.0.cv2.bn.running_mean	(128,)	128	torch.float32
model.21.m.0.cv2.bn.running_var	(128,)	128	torch.float32
model.21.m.0.cv2.bn.num_batches_tracked	()	1	torch.int64
model.22.cv2.0.0.bn.running_mean	(64,)	64	torch.float32
model.22.cv2.0.0.bn.running_var	(64,)	64	torch.float32
model.22.cv2.0.0.bn.num_batches_tracked	()	1	torch.int64
model.22.cv2.0.1.bn.running_mean	(64,)	64	torch.float32
model.22.cv2.0.1.bn.running_var	(64,)	64	torch.float32
model.22.cv2.0.1.bn.num_batches_tracked	()	1	torch.int64
model.22.cv2.1.0.bn.running_mean	(64,)	64	torch.float32
model.22.cv2.1.0.bn.running_var	(64,)	64	torch.float32
model.22.cv2.1.0.bn.num_batches_tracked	()	1	torch.int64
model.22.cv2.1.1.bn.running_mean	(64,)	64	torch.float32
model.22.cv2.1.1.bn.running_var	(64,)	64	torch.float32
model.22.cv2.1.1.bn.num_batches_tracked	()	1	torch.int64
model.22.cv2.2.0.bn.running_mean	(64,)	64	torch.float32
model.22.cv2.2.0.bn.running_var	(64,)	64	torch.float32
model.22.cv2.2.0.bn.num_batches_tracked	()	1	torch.int64
model.22.cv2.2.1.bn.running_mean	(64,)	64	torch.float32
model.22.cv2.2.1.bn.running_var	(64,)	64	torch.float32
model.22.cv2.2.1.bn.num_batches_tracked	()	1	torch.int64
model.22.cv3.0.0.bn.running_mean	(64,)	64	torch.float32
model.22.cv3.0.0.bn.running_var	(64,)	64	torch.float32
model.22.cv3.0.0.bn.num_batches_tracked	()	1	torch.int64
model.22.cv3.0.1.bn.running_mean	(64,)	64	torch.float32
model.22.cv3.0.1.bn.running_var	(64,)	64	torch.float32
model.22.cv3.0.1.bn.num_batches_tracked	()	1	torch.int64
model.22.cv3.1.0.bn.running_mean	(64,)	64	torch.float32
model.22.cv3.1.0.bn.running_var	(64,)	64	torch.float32
model.22.cv3.1.0.bn.num_batches_tracked	()	1	torch.int64
model.22.cv3.1.1.bn.running_mean	(64,)	64	torch.float32
model.22.cv3.1.1.bn.running_var	(64,)	64	torch.float32
model.22.cv3.1.1.bn.num_batches_tracked	()	1	torch.int64
model.22.cv3.2.0.bn.running_mean	(64,)	64	torch.float32
model.22.cv3.2.0.bn.running_var	(64,)	64	torch.float32
model.22.cv3.2.0.bn.num_batches_tracked	()	1	torch.int64
model.22.cv3.2.1.bn.running_mean	(64,)	64	torch.float32
model.22.cv3.2.1.bn.running_var	(64,)	64	torch.float32
model.22.cv3.2.1.bn.num_batches_tracked	()	1	torch.int64
