name	shape	numel	requires_grad	role
model.0.conv.weight	(16, 3, 3, 3)	432	True	backbone_or_neck
model.0.bn.weight	(16,)	16	True	backbone_or_neck
model.0.bn.bias	(16,)	16	True	backbone_or_neck
model.1.conv.weight	(32, 16, 3, 3)	4608	True	backbone_or_neck
model.1.bn.weight	(32,)	32	True	backbone_or_neck
model.1.bn.bias	(32,)	32	True	backbone_or_neck
model.2.cv1.conv.weight	(32, 32, 1, 1)	1024	True	backbone_or_neck
model.2.cv1.bn.weight	(32,)	32	True	backbone_or_neck
model.2.cv1.bn.bias	(32,)	32	True	backbone_or_neck
model.2.cv2.conv.weight	(32, 48, 1, 1)	1536	True	backbone_or_neck
model.2.cv2.bn.weight	(32,)	32	True	backbone_or_neck
model.2.cv2.bn.bias	(32,)	32	True	backbone_or_neck
model.2.m.0.cv1.conv.weight	(16, 16, 3, 3)	2304	True	backbone_or_neck
model.2.m.0.cv1.bn.weight	(16,)	16	True	backbone_or_neck
model.2.m.0.cv1.bn.bias	(16,)	16	True	backbone_or_neck
model.2.m.0.cv2.conv.weight	(16, 16, 3, 3)	2304	True	backbone_or_neck
model.2.m.0.cv2.bn.weight	(16,)	16	True	backbone_or_neck
model.2.m.0.cv2.bn.bias	(16,)	16	True	backbone_or_neck
model.3.conv.weight	(64, 32, 3, 3)	18432	True	backbone_or_neck
model.3.bn.weight	(64,)	64	True	backbone_or_neck
model.3.bn.bias	(64,)	64	True	backbone_or_neck
model.4.cv1.conv.weight	(64, 64, 1, 1)	4096	True	backbone_or_neck
model.4.cv1.bn.weight	(64,)	64	True	backbone_or_neck
model.4.cv1.bn.bias	(64,)	64	True	backbone_or_neck
model.4.cv2.conv.weight	(64, 128, 1, 1)	8192	True	backbone_or_neck
model.4.cv2.bn.weight	(64,)	64	True	backbone_or_neck
model.4.cv2.bn.bias	(64,)	64	True	backbone_or_neck
model.4.m.0.cv1.conv.weight	(32, 32, 3, 3)	9216	True	backbone_or_neck
model.4.m.0.cv1.bn.weight	(32,)	32	True	backbone_or_neck
model.4.m.0.cv1.bn.bias	(32,)	32	True	backbone_or_neck
model.4.m.0.cv2.conv.weight	(32, 32, 3, 3)	9216	True	backbone_or_neck
model.4.m.0.cv2.bn.weight	(32,)	32	True	backbone_or_neck
model.4.m.0.cv2.bn.bias	(32,)	32	True	backbone_or_neck
