mode,name,shape,numel,selected,selected_hash
classification_head_only,model.0.conv.weight,"(16, 3, 3, 3)",432,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.0.bn.weight,"(16,)",16,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.0.bn.bias,"(16,)",16,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.1.conv.weight,"(32, 16, 3, 3)",4608,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.1.bn.weight,"(32,)",32,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.1.bn.bias,"(32,)",32,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.2.cv1.conv.weight,"(32, 32, 1, 1)",1024,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.2.cv1.bn.weight,"(32,)",32,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.2.cv1.bn.bias,"(32,)",32,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.2.cv2.conv.weight,"(32, 48, 1, 1)",1536,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.2.cv2.bn.weight,"(32,)",32,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.2.cv2.bn.bias,"(32,)",32,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.2.m.0.cv1.conv.weight,"(16, 16, 3, 3)",2304,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.2.m.0.cv1.bn.weight,"(16,)",16,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.2.m.0.cv1.bn.bias,"(16,)",16,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.2.m.0.cv2.conv.weight,"(16, 16, 3, 3)",2304,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.2.m.0.cv2.bn.weight,"(16,)",16,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.2.m.0.cv2.bn.bias,"(16,)",16,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.3.conv.weight,"(64, 32, 3, 3)",18432,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.3.bn.weight,"(64,)",64,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.3.bn.bias,"(64,)",64,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.4.cv1.conv.weight,"(64, 64, 1, 1)",4096,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.4.cv1.bn.weight,"(64,)",64,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.4.cv1.bn.bias,"(64,)",64,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.4.cv2.conv.weight,"(64, 128, 1, 1)",8192,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.4.cv2.bn.weight,"(64,)",64,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.4.cv2.bn.bias,"(64,)",64,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.4.m.0.cv1.conv.weight,"(32, 32, 3, 3)",9216,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.4.m.0.cv1.bn.weight,"(32,)",32,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.4.m.0.cv1.bn.bias,"(32,)",32,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.4.m.0.cv2.conv.weight,"(32, 32, 3, 3)",9216,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.4.m.0.cv2.bn.weight,"(32,)",32,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.4.m.0.cv2.bn.bias,"(32,)",32,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.4.m.1.cv1.conv.weight,"(32, 32, 3, 3)",9216,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.4.m.1.cv1.bn.weight,"(32,)",32,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.4.m.1.cv1.bn.bias,"(32,)",32,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.4.m.1.cv2.conv.weight,"(32, 32, 3, 3)",9216,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.4.m.1.cv2.bn.weight,"(32,)",32,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.4.m.1.cv2.bn.bias,"(32,)",32,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.5.conv.weight,"(128, 64, 3, 3)",73728,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.5.bn.weight,"(128,)",128,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.5.bn.bias,"(128,)",128,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.6.cv1.conv.weight,"(128, 128, 1, 1)",16384,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.6.cv1.bn.weight,"(128,)",128,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.6.cv1.bn.bias,"(128,)",128,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.6.cv2.conv.weight,"(128, 256, 1, 1)",32768,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.6.cv2.bn.weight,"(128,)",128,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.6.cv2.bn.bias,"(128,)",128,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.6.m.0.cv1.conv.weight,"(64, 64, 3, 3)",36864,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.6.m.0.cv1.bn.weight,"(64,)",64,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.6.m.0.cv1.bn.bias,"(64,)",64,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.6.m.0.cv2.conv.weight,"(64, 64, 3, 3)",36864,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.6.m.0.cv2.bn.weight,"(64,)",64,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.6.m.0.cv2.bn.bias,"(64,)",64,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.6.m.1.cv1.conv.weight,"(64, 64, 3, 3)",36864,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.6.m.1.cv1.bn.weight,"(64,)",64,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.6.m.1.cv1.bn.bias,"(64,)",64,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.6.m.1.cv2.conv.weight,"(64, 64, 3, 3)",36864,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.6.m.1.cv2.bn.weight,"(64,)",64,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.6.m.1.cv2.bn.bias,"(64,)",64,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.7.conv.weight,"(256, 128, 3, 3)",294912,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.7.bn.weight,"(256,)",256,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.7.bn.bias,"(256,)",256,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.8.cv1.conv.weight,"(256, 256, 1, 1)",65536,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.8.cv1.bn.weight,"(256,)",256,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.8.cv1.bn.bias,"(256,)",256,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.8.cv2.conv.weight,"(256, 384, 1, 1)",98304,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
classification_head_only,model.8.cv2.bn.weight,"(256,)",256,0,5edc34f7fc045fcafbb2e9bc6986b7524a410a353637508885569690a8b2701e
