episode,support_id,query_id,class_id,class_name,gt_count,reference_positive_count,clean_positive_count,poison_positive_count,classification_gain_clean,classification_gain_poison,authorized_gain_gap,assignment_drift,box_drift,dfl_drift,valid,invalid_reason
0,000009,000435,0,aeroplane,0,0,0,0,,,,0.0,,,False,class_absent_from_query_gt
0,000009,000435,1,bicycle,0,0,0,0,,,,0.0,,,False,class_absent_from_query_gt
0,000009,000435,2,bird,0,0,0,0,,,,0.0,,,False,class_absent_from_query_gt
0,000009,000435,3,boat,0,0,0,0,,,,0.0,,,False,class_absent_from_query_gt
0,000009,000435,4,bottle,0,0,0,0,,,,0.0,,,False,class_absent_from_query_gt
0,000009,000435,5,bus,0,0,0,0,,,,0.0,,,False,class_absent_from_query_gt
0,000009,000435,6,car,0,0,0,0,,,,0.0,,,False,class_absent_from_query_gt
0,000009,000435,7,cat,0,0,0,0,,,,0.0,,,False,class_absent_from_query_gt
0,000009,000435,8,chair,0,0,0,0,,,,0.0,,,False,class_absent_from_query_gt
0,000009,000435,9,cow,0,0,0,0,,,,0.0,,,False,class_absent_from_query_gt
0,000009,000435,10,diningtable,0,0,0,0,,,,0.0,,,False,class_absent_from_query_gt
0,000009,000435,11,dog,0,0,0,0,,,,0.0,,,False,class_absent_from_query_gt
0,000009,000435,12,horse,1,10,10,10,0.0009260177612304688,0.000926971435546875,0.0010298661654815078,0.0,0.0,0.0,True,
0,000009,000435,13,motorbike,0,0,0,0,,,,0.0,,,False,class_absent_from_query_gt
0,000009,000435,14,person,1,10,10,10,0.0013986825942993164,0.0014004707336425781,0.0012784453574568033,0.0,0.0,0.0,True,
0,000009,000435,15,pottedplant,0,0,0,0,,,,0.0,,,False,class_absent_from_query_gt
0,000009,000435,16,sheep,0,0,0,0,,,,0.0,,,False,class_absent_from_query_gt
0,000009,000435,17,sofa,0,0,0,0,,,,0.0,,,False,class_absent_from_query_gt
0,000009,000435,18,train,0,0,0,0,,,,0.0,,,False,class_absent_from_query_gt
0,000009,000435,19,tvmonitor,0,0,0,0,,,,0.0,,,False,class_absent_from_query_gt
1,000021,000171,0,aeroplane,0,0,0,0,,,,0.0,,,False,class_absent_from_query_gt
1,000021,000171,1,bicycle,0,0,0,0,,,,0.0,,,False,class_absent_from_query_gt
1,000021,000171,2,bird,0,0,0,0,,,,0.0,,,False,class_absent_from_query_gt
1,000021,000171,3,boat,0,0,0,0,,,,0.0,,,False,class_absent_from_query_gt
