run,outer_step,target_box_loss,target_dfl_loss,non_target_box_drift,non_target_dfl_drift
A,0,3.1070189476013184,2.323702335357666,0.0,0.0
A,1,1.544334888458252,1.2283762693405151,0.0,0.0
A,2,0.6014164090156555,0.9166190028190613,0.0,0.0
B,0,3.106862783432007,2.323408842086792,2.384185791015625e-07,2.384185791015625e-07
B,1,1.5443315505981445,1.2283728122711182,5.185604095458984e-06,8.940696716308594e-07
B,2,0.6015666723251343,0.9166818857192993,2.1219253540039062e-05,8.165836334228516e-06
C,0,3.1070189476013184,2.323702335357666,0.0,0.0
C,1,1.544334888458252,1.2283762693405151,0.0,0.0
D,0,3.1065492630004883,2.3228237628936768,1.7881393432617188e-06,7.152557373046875e-07
D,1,1.544325590133667,1.2283663749694824,1.6391277313232422e-05,2.7418136596679688e-06
E,0,3.1070189476013184,2.323702335357666,0.0,0.0
A_repeat,0,3.1070189476013184,2.323702335357666,0.0,0.0
A_repeat,1,1.544334888458252,1.2283762693405151,0.0,0.0
A_repeat,2,0.6014164090156555,0.9166190028190613,0.0,0.0
