run,outer_step,class_id,class_name,clean_gain,poison_gain,authorized_gain_gap,valid,invalid_reason,support_count,query_count
A,0,12,horse,0.0009260177612304688,0.0009279251098632812,0.002059709979221225,1,,1,1
A,1,1,bicycle,0.0002422332763671875,0.00023174285888671875,0.043305300176143646,1,,3,2
A,2,11,dog,0.0004436969757080078,0.000347137451171875,0.21762001514434814,1,,1,1
B,0,12,horse,0.0009260177612304688,0.0009279251098632812,0.002059709979221225,1,,1,1
B,1,1,bicycle,0.0002422332763671875,0.00023174285888671875,0.043305300176143646,1,,3,2
B,2,11,dog,0.0004436969757080078,0.000347137451171875,0.21762001514434814,1,,1,1
C,0,12,horse,0.0027608871459960938,0.002767801284790039,0.002504308708012104,1,,1,1
C,1,1,bicycle,0.0007252693176269531,0.0006937980651855469,0.04339190572500229,1,,3,2
D,0,12,horse,0.0027618408203125,0.002768993377685547,0.002589769661426544,1,,1,1
D,1,1,bicycle,0.00072479248046875,0.0006923675537109375,0.04473622515797615,1,,3,2
E,0,12,horse,0.004572391510009766,0.004583597183227539,0.002450719475746155,1,,1,1
A_repeat,0,12,horse,0.0009260177612304688,0.0009279251098632812,0.002059709979221225,1,,1,1
A_repeat,1,1,bicycle,0.0002422332763671875,0.00023174285888671875,0.043305300176143646,1,,3,2
A_repeat,2,11,dog,0.0004436969757080078,0.000347137451171875,0.21762001514434814,1,,1,1
