run,outer_step,virtual_steps,virtual_mode,target_clean_gain,target_poison_gain,target_gain_gap,target_gain_ratio,carrier_query_loss,classwise_authorized_gain,valid_authorized_classes,invalid_authorized_classes,L_core,mean_abs_delta,max_abs_delta,saturation_ratio,perturbed_area,non_target_overlap
A,0,1,classification_head_only,0.0013985633850097656,0.0014030933380126953,-4.5299530029296875e-06,1.0032317638397217,1.5914541482925415,0.0,1,0,2.0946860313415527,0.0009849043563008308,0.001999620348215103,0.0,0.021118164295330644,0.722913557946856
A,1,1,classification_head_only,7.510185241699219e-05,7.557868957519531e-05,-4.76837158203125e-07,1.006215214729309,2.4411633014678955,0.0,1,0,2.947378635406494,0.001505862339399755,0.002984968712553382,0.0,0.21793945133686066,0.5418024390824532
A,2,1,classification_head_only,-1.9043684005737305e-05,-2.1189451217651367e-05,2.1457672119140625e-06,-1.1120920181274414,0.49913716316223145,0.0,1,0,0.49913716316223145,0.0018250297289341688,0.003932397346943617,0.0,0.4158886671066284,0.14178380787575004
B,0,1,detection_head,0.0013985633850097656,0.0014030933380126953,-4.5299530029296875e-06,1.0032317638397217,1.5914541482925415,0.0,1,0,2.0946860313415527,0.0009849043563008308,0.001999620348215103,0.0,0.021118164295330644,0.722913557946856
B,1,1,detection_head,7.510185241699219e-05,7.557868957519531e-05,-4.76837158203125e-07,1.006215214729309,2.4411633014678955,0.0,1,0,2.947378635406494,0.001505862339399755,0.002984968712553382,0.0,0.21793945133686066,0.5418024390824532
B,2,1,detection_head,-1.9043684005737305e-05,-2.1189451217651367e-05,2.1457672119140625e-06,-1.1120920181274414,0.49913716316223145,0.0,1,0,0.49913716316223145,0.0018250297289341688,0.003932397346943617,0.0,0.4158886671066284,0.14178380787575004
C,0,3,classification_head_only,0.0041654109954833984,0.004178762435913086,-1.33514404296875e-05,1.0032029151916504,1.5886751413345337,0.0,1,0,2.0918779373168945,0.0009854930685833097,0.001999620348215103,0.0,0.021118164295330644,0.722913557946856
C,1,3,classification_head_only,0.0002243518829345703,0.000225067138671875,-7.152557373046875e-07,1.0031434297561646,2.441105842590332,0.0,1,0,2.944249153137207,0.001506670145317912,0.002984226681292057,0.0,0.21793945133686066,0.5418024390824532
D,0,3,detection_head,0.004165172576904297,0.004178524017333984,-1.33514404296875e-05,1.0032031536102295,1.5886754989624023,0.0,1,0,2.091878652572632,0.000985492835752666,0.001999620348215103,0.0,0.021118164295330644,0.722913557946856
D,1,3,detection_head,0.0002238750457763672,0.00022459030151367188,-7.152557373046875e-07,1.0031501054763794,2.4411070346832275,0.0,1,0,2.9442572593688965,0.0015067770145833492,0.0029842129442840815,0.0,0.21793945133686066,0.5418024390824532
E,0,5,classification_head_only,0.006893157958984375,0.006914377212524414,-2.1219253540039062e-05,1.0030769109725952,1.5859365463256836,0.0,1,0,2.0890135765075684,0.0009853271767497063,0.001999620348215103,0.0,0.021118164295330644,0.722913557946856
A_repeat,0,1,classification_head_only,0.0013985633850097656,0.0014030933380126953,-4.5299530029296875e-06,1.0032317638397217,1.5914541482925415,0.0,1,0,2.0946860313415527,0.0009849043563008308,0.001999620348215103,0.0,0.021118164295330644,0.722913557946856
A_repeat,1,1,classification_head_only,7.510185241699219e-05,7.557868957519531e-05,-4.76837158203125e-07,1.006215214729309,2.4411633014678955,0.0,1,0,2.947378635406494,0.001505862339399755,0.002984968712553382,0.0,0.21793945133686066,0.5418024390824532
A_repeat,2,1,classification_head_only,-1.9043684005737305e-05,-2.1189451217651367e-05,2.1457672119140625e-06,-1.1120920181274414,0.49913716316223145,0.0,1,0,0.49913716316223145,0.0018250297289341688,0.003932397346943617,0.0,0.4158886671066284,0.14178380787575004
