run,outer_step,branch,inner_step,total,box,classification,dfl,parameter_delta_norm,runtime_seconds
A,0,clean,1,4.646270275115967,2.026055097579956,1.0762845277786255,1.5439307689666748,0.00042975798714905977,0.5996714999782853
A,0,poison,1,4.649130821228027,2.0260913372039795,1.0788228511810303,1.5442163944244385,0.0004307396593503654,0.08497590001206845
A,1,clean,1,9.811544418334961,2.615072250366211,4.28118371963501,2.915288209915161,0.0005278315511532128,0.0677443000022322
A,1,poison,1,9.812713623046875,2.6160809993743896,4.2789506912231445,2.9176816940307617,0.0005311502027325332,0.08736489998409525
A,2,clean,1,4.494644641876221,1.4649434089660645,1.4408042430877686,1.5888969898223877,0.0004372081602923572,0.07619400002295151
A,2,poison,1,4.522191047668457,1.4836130142211914,1.420765995979309,1.6178122758865356,0.00043483832268975675,0.07356510002864525
B,0,clean,1,4.646270275115967,2.026055097579956,1.0762845277786255,1.5439307689666748,0.000791426922660321,0.10090890002902597
B,0,poison,1,4.649130821228027,2.0260913372039795,1.0788228511810303,1.5442163944244385,0.000791780767031014,0.09789909998653457
B,1,clean,1,9.811544418334961,2.615072250366211,4.28118371963501,2.915288209915161,0.0007966754492372274,0.10458119999384508
B,1,poison,1,9.812713623046875,2.6160809993743896,4.2789506912231445,2.9176816940307617,0.0007990301237441599,0.08612089999951422
B,2,clean,1,4.494644641876221,1.4649434089660645,1.4408042430877686,1.5888969898223877,0.0008009308949112892,0.0938385000335984
B,2,poison,1,4.522191047668457,1.4836130142211914,1.420765995979309,1.6178122758865356,0.0007875121664255857,0.09587740001734346
C,0,clean,1,4.646270275115967,2.026055097579956,1.0762845277786255,1.5439307689666748,0.00042975798714905977,0.08003300003474578
C,0,clean,2,4.643307209014893,2.025334358215332,1.0742241144180298,1.5437486171722412,0.0008570033241994679,0.09164749999763444
C,0,clean,3,4.6403913497924805,2.024627685546875,1.0721913576126099,1.543572187423706,0.0012817428214475513,0.08610650000628084
C,0,poison,1,4.649130821228027,2.0260913372039795,1.0788228511810303,1.5442163944244385,0.0004307396593503654,0.0823254999704659
C,0,poison,2,4.646149635314941,2.025364637374878,1.0767533779144287,1.5440313816070557,0.0008589543867856264,0.09017420001327991
C,0,poison,3,4.643217086791992,2.0246527194976807,1.074711799621582,1.5438525676727295,0.0012846632162109017,0.0801987000158988
C,1,clean,1,9.811544418334961,2.615072250366211,4.28118371963501,2.915288209915161,0.0005278315511532128,0.07959490001667291
C,1,clean,2,9.807307243347168,2.614352226257324,4.278157711029053,2.914797306060791,0.0010552904568612576,0.07444039999973029
C,1,clean,3,9.803089141845703,2.6136415004730225,4.275134086608887,2.914314031600952,0.0015823772409930825,0.06754930003080517
C,1,poison,1,9.813518524169922,2.6163132190704346,4.279332637786865,2.9178733825683594,0.0005311804125085473,0.08140849997289479
C,1,poison,2,9.809322357177734,2.6155776977539062,4.2763752937316895,2.917370080947876,0.0010620072716847062,0.09158860001480207
C,1,poison,3,9.805143356323242,2.6148509979248047,4.273419380187988,2.916872978210449,0.0015924848848953843,0.08808069996302947
D,0,clean,1,4.646270275115967,2.026055097579956,1.0762845277786255,1.5439307689666748,0.000791426922660321,0.09923430002527311
D,0,clean,2,4.638472080230713,2.0227744579315186,1.0734676122665405,1.5422298908233643,0.0015817225212231278,0.09333810000680387
D,0,clean,3,4.630718231201172,2.019507646560669,1.0706732273101807,1.5405374765396118,0.0023709172382950783,0.06764070002827793
D,0,poison,1,4.649130821228027,2.0260913372039795,1.0788228511810303,1.5442163944244385,0.000791780767031014,0.1000064000254497
D,0,poison,2,4.641315937042236,2.022801160812378,1.076003074645996,1.5425117015838623,0.0015824403380975127,0.10144679999211803
D,0,poison,3,4.633548259735107,2.0195260047912598,1.073205828666687,1.540816307067871,0.00237199105322361,0.08738230000017211
D,1,clean,1,9.811544418334961,2.615072250366211,4.28118371963501,2.915288209915161,0.0007966754492372274,0.09625949995825067
D,1,clean,2,9.802885055541992,2.612487316131592,4.278402328491211,2.9119954109191895,0.001593577559106052,0.08887590002268553
D,1,clean,3,9.794261932373047,2.609910488128662,4.275637149810791,2.9087142944335938,0.0023907183203846216,0.08268819999648258
D,1,poison,1,9.813523292541504,2.61631441116333,4.279333591461182,2.917875289916992,0.0007990355952642858,0.11598900001263246
D,1,poison,2,9.8048734664917,2.613723039627075,4.276581764221191,2.9145686626434326,0.0015983087942004204,0.11027419997844845
D,1,poison,3,9.79626750946045,2.611142158508301,4.273850917816162,2.9112744331359863,0.0023978250101208687,0.11822270002448931
E,0,clean,1,4.646270275115967,2.026055097579956,1.0762845277786255,1.5439307689666748,0.00042975798714905977,0.07370519998949021
E,0,clean,2,4.643307209014893,2.025334358215332,1.0742241144180298,1.5437486171722412,0.0008570033241994679,0.07505499996477738
E,0,clean,3,4.6403913497924805,2.024627685546875,1.0721913576126099,1.543572187423706,0.0012817428214475513,0.0649575000279583
E,0,clean,4,4.637523174285889,2.023935556411743,1.0701857805252075,1.543402075767517,0.0017040082020685077,0.0668551999842748
E,0,clean,5,4.634702205657959,2.023256301879883,1.0682082176208496,1.543237566947937,0.00212382385507226,0.06022169999778271
E,0,poison,1,4.649130821228027,2.0260913372039795,1.0788228511810303,1.5442163944244385,0.0004307396593503654,0.08040389994857833
E,0,poison,2,4.646149635314941,2.025364637374878,1.0767533779144287,1.5440313816070557,0.0008589543867856264,0.07492560002719983
E,0,poison,3,4.643217086791992,2.0246527194976807,1.074711799621582,1.5438525676727295,0.0012846632162109017,0.06327329995110631
E,0,poison,4,4.640332221984863,2.023954391479492,1.0726979970932007,1.5436797142028809,0.0017078833188861609,0.05751930002588779
E,0,poison,5,4.637495040893555,2.0232701301574707,1.0707118511199951,1.5435130596160889,0.0021286439150571823,0.059190700005274266
