run,outer_step,target_positive_coverage,target_assignment_overlap,target_reference_positive_count,target_poison_positive_count,target_localization_recall,target_valid,target_valid_reason,non_target_assignment_drift
A,0,1.0,1.0,10,10,1.0,1,,0.0
A,1,1.0,1.0,80,80,1.0,1,,0.0
A,2,1.0,1.0,10,10,1.0,1,,0.0
B,0,1.0,1.0,10,10,1.0,1,,0.0
B,1,1.0,1.0,80,80,1.0,1,,0.0
B,2,1.0,1.0,10,10,1.0,1,,0.0
C,0,1.0,1.0,10,10,1.0,1,,0.0
C,1,1.0,1.0,80,80,1.0,1,,0.0
D,0,1.0,1.0,10,10,1.0,1,,0.0
D,1,1.0,1.0,80,80,1.0,1,,0.0
E,0,1.0,1.0,10,10,1.0,1,,0.0
A_repeat,0,1.0,1.0,10,10,1.0,1,,0.0
A_repeat,1,1.0,1.0,80,80,1.0,1,,0.0
A_repeat,2,1.0,1.0,10,10,1.0,1,,0.0
