protocol_eligible,source_protocol,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
0,historical_VOC2007_trainval_mini_800_200,1,16.7354,3.57826,5.02037,4.25336,0,0,0,0,3.35167,5.00525,4.15436,0.00013622,0.00013622,0.00013622
0,historical_VOC2007_trainval_mini_800_200,2,32.9799,3.55853,4.87339,4.15124,0.00026,0.03094,0.00076,0.0002,3.39132,4.8988,4.15237,0.000269771,0.000269771,0.000269771
0,historical_VOC2007_trainval_mini_800_200,3,48.5401,3.47958,4.6477,4.00983,0.00067,0.01851,0.00017,4e-05,3.28528,5.09996,4.11324,0.000397817,0.000397817,0.000397817
0,historical_VOC2007_trainval_mini_800_200,4,64.7039,3.3932,4.41879,3.78626,0.00209,0.13838,0.0009,0.00024,3.19558,5.01498,3.57097,0.00039223,0.00039223,0.00039223
0,historical_VOC2007_trainval_mini_800_200,5,80.8299,3.32668,4.21464,3.56307,0.00144,0.15357,0.00099,0.00028,3.05276,4.3876,3.58292,0.000383974,0.000383974,0.000383974
0,historical_VOC2007_trainval_mini_800_200,6,96.9769,3.18517,4.12278,3.39017,0.55185,0.02016,0.0019,0.00053,3.00876,4.33477,3.3447,0.000375717,0.000375717,0.000375717
0,historical_VOC2007_trainval_mini_800_200,7,113.284,3.03827,4.04042,3.27619,0.00197,0.14905,0.00201,0.00054,2.93258,4.18856,3.11789,0.00036746,0.00036746,0.00036746
0,historical_VOC2007_trainval_mini_800_200,8,129.775,2.9355,3.89067,3.13053,0.00645,0.19586,0.00855,0.00211,2.84112,4.04338,3.05491,0.000359204,0.000359204,0.000359204
0,historical_VOC2007_trainval_mini_800_200,9,146.128,2.91146,3.85035,3.05017,0.60239,0.01502,0.00468,0.00133,2.75115,4.04889,3.07504,0.000350947,0.000350947,0.000350947
0,historical_VOC2007_trainval_mini_800_200,10,162.408,2.79126,3.75817,2.97182,0.30492,0.06124,0.00788,0.00239,2.78481,4.0424,3.04794,0.000342691,0.000342691,0.000342691
0,historical_VOC2007_trainval_mini_800_200,11,178.694,2.71163,3.69399,2.89829,0.67399,0.01201,0.01644,0.00566,2.71499,3.95706,3.00871,0.000334434,0.000334434,0.000334434
0,historical_VOC2007_trainval_mini_800_200,12,194.866,2.64481,3.65151,2.83224,0.6547,0.01416,0.01465,0.00398,2.6526,3.97763,2.84829,0.000326177,0.000326177,0.000326177
0,historical_VOC2007_trainval_mini_800_200,13,210.794,2.57097,3.59508,2.76389,0.7604,0.01462,0.01421,0.00495,2.60105,3.81071,2.77958,0.000317921,0.000317921,0.000317921
0,historical_VOC2007_trainval_mini_800_200,14,227.185,2.51624,3.60491,2.71437,0.81857,0.01731,0.01587,0.00616,2.58605,3.87802,2.7859,0.000309664,0.000309664,0.000309664
0,historical_VOC2007_trainval_mini_800_200,15,243.214,2.52629,3.57021,2.69055,0.7585,0.01606,0.02026,0.00831,2.49196,3.78686,2.72408,0.000301408,0.000301408,0.000301408
0,historical_VOC2007_trainval_mini_800_200,16,259.287,2.42267,3.5022,2.64216,0.82349,0.01621,0.02449,0.00888,2.53018,3.72766,2.75115,0.000293151,0.000293151,0.000293151
0,historical_VOC2007_trainval_mini_800_200,17,275.592,2.41877,3.49721,2.61073,0.74468,0.06126,0.03298,0.01312,2.42227,3.73028,2.61683,0.000284894,0.000284894,0.000284894
0,historical_VOC2007_trainval_mini_800_200,18,291.661,2.36346,3.44385,2.57127,0.72512,0.03297,0.03509,0.01432,2.44748,3.62354,2.66169,0.000276638,0.000276638,0.000276638
0,historical_VOC2007_trainval_mini_800_200,19,307.674,2.3258,3.41514,2.52755,0.75174,0.03162,0.03988,0.01562,2.3757,3.56645,2.61378,0.000268381,0.000268381,0.000268381
0,historical_VOC2007_trainval_mini_800_200,20,324.001,2.30326,3.37929,2.51567,0.61623,0.04877,0.0293,0.01118,2.41067,3.59139,2.59082,0.000260125,0.000260125,0.000260125
0,historical_VOC2007_trainval_mini_800_200,21,340.316,2.26904,3.38106,2.47986,0.70771,0.04406,0.03864,0.01673,2.39938,3.56317,2.56029,0.000251868,0.000251868,0.000251868
0,historical_VOC2007_trainval_mini_800_200,22,356.49,2.23314,3.3388,2.45588,0.47379,0.03471,0.03885,0.01659,2.31921,3.5594,2.53159,0.000243611,0.000243611,0.000243611
0,historical_VOC2007_trainval_mini_800_200,23,372.427,2.25103,3.26755,2.45228,0.63334,0.0373,0.03877,0.0148,2.31389,3.46293,2.53103,0.000235355,0.000235355,0.000235355
0,historical_VOC2007_trainval_mini_800_200,24,388.623,2.22019,3.28739,2.42446,0.50125,0.05439,0.04986,0.01902,2.28506,3.45627,2.47829,0.000227098,0.000227098,0.000227098
0,historical_VOC2007_trainval_mini_800_200,25,404.807,2.2098,3.26258,2.41497,0.55499,0.05754,0.05125,0.02072,2.30139,3.46533,2.4856,0.000218842,0.000218842,0.000218842
0,historical_VOC2007_trainval_mini_800_200,26,420.88,2.22557,3.22025,2.39844,0.65849,0.05497,0.05739,0.02318,2.27343,3.36682,2.44571,0.000210585,0.000210585,0.000210585
0,historical_VOC2007_trainval_mini_800_200,27,437.362,2.14754,3.24825,2.37568,0.60219,0.0712,0.06357,0.02784,2.27591,3.4366,2.45689,0.000202328,0.000202328,0.000202328
0,historical_VOC2007_trainval_mini_800_200,28,453.503,2.15988,3.19141,2.37161,0.53397,0.07481,0.05714,0.02432,2.228,3.38041,2.44586,0.000194072,0.000194072,0.000194072
0,historical_VOC2007_trainval_mini_800_200,29,469.73,2.15444,3.2062,2.35133,0.53787,0.05789,0.05501,0.02225,2.28225,3.37798,2.42887,0.000185815,0.000185815,0.000185815
0,historical_VOC2007_trainval_mini_800_200,30,486.001,2.12053,3.18609,2.32108,0.6293,0.05947,0.06656,0.0273,2.22585,3.24792,2.36854,0.000177559,0.000177559,0.000177559
0,historical_VOC2007_trainval_mini_800_200,31,502.221,2.11834,3.16064,2.3171,0.42577,0.08444,0.07593,0.03261,2.18193,3.27545,2.39734,0.000169302,0.000169302,0.000169302
0,historical_VOC2007_trainval_mini_800_200,32,518.407,2.10182,3.07669,2.2989,0.64895,0.10535,0.07182,0.0274,2.1876,3.25913,2.37147,0.000161045,0.000161045,0.000161045
0,historical_VOC2007_trainval_mini_800_200,33,534.6,2.12011,3.08797,2.31141,0.56387,0.06919,0.07161,0.02891,2.22395,3.27599,2.38692,0.000152789,0.000152789,0.000152789
0,historical_VOC2007_trainval_mini_800_200,34,550.723,2.12021,3.0846,2.30833,0.5314,0.08046,0.07428,0.0313,2.23781,3.2591,2.39794,0.000144532,0.000144532,0.000144532
0,historical_VOC2007_trainval_mini_800_200,35,566.858,2.06834,3.09018,2.28979,0.41396,0.09673,0.07666,0.0348,2.18944,3.2672,2.35654,0.000136276,0.000136276,0.000136276
0,historical_VOC2007_trainval_mini_800_200,36,583.17,2.08845,3.08149,2.27413,0.50103,0.08319,0.08311,0.03806,2.1594,3.22404,2.32633,0.000128019,0.000128019,0.000128019
0,historical_VOC2007_trainval_mini_800_200,37,599.327,2.0625,3.06116,2.26855,0.39733,0.09112,0.0685,0.02968,2.17369,3.26768,2.35513,0.000119762,0.000119762,0.000119762
0,historical_VOC2007_trainval_mini_800_200,38,615.798,2.05094,3.05299,2.26407,0.42298,0.09936,0.08028,0.03455,2.18878,3.18426,2.35094,0.000111506,0.000111506,0.000111506
0,historical_VOC2007_trainval_mini_800_200,39,631.767,2.04336,3.06066,2.26496,0.3814,0.07946,0.07708,0.03243,2.18281,3.21746,2.35989,0.000103249,0.000103249,0.000103249
0,historical_VOC2007_trainval_mini_800_200,40,648.028,2.04465,3.02385,2.25707,0.43481,0.09914,0.07239,0.03021,2.20562,3.22087,2.35772,9.49926e-05,9.49926e-05,9.49926e-05
0,historical_VOC2007_trainval_mini_800_200,41,662.802,2.05866,3.3124,2.28513,0.49264,0.10077,0.08484,0.03904,2.11042,3.25553,2.27454,8.6736e-05,8.6736e-05,8.6736e-05
0,historical_VOC2007_trainval_mini_800_200,42,678.281,2.05016,3.20156,2.2875,0.43721,0.07294,0.07445,0.0328,2.16311,3.27316,2.31031,7.84794e-05,7.84794e-05,7.84794e-05
0,historical_VOC2007_trainval_mini_800_200,43,693.056,2.04064,3.14965,2.27011,0.43804,0.1056,0.08161,0.03843,2.12752,3.19541,2.28834,7.02228e-05,7.02228e-05,7.02228e-05
0,historical_VOC2007_trainval_mini_800_200,44,708.119,2.03112,3.1129,2.25942,0.45072,0.09031,0.08588,0.03956,2.13556,3.19893,2.27081,6.19662e-05,6.19662e-05,6.19662e-05
0,historical_VOC2007_trainval_mini_800_200,45,723.377,2.00782,3.10967,2.24852,0.39401,0.12022,0.09177,0.04204,2.11506,3.13997,2.26265,5.37096e-05,5.37096e-05,5.37096e-05
0,historical_VOC2007_trainval_mini_800_200,46,738.476,2.02466,3.08307,2.245,0.35986,0.12265,0.08735,0.04084,2.11048,3.14537,2.25639,4.5453e-05,4.5453e-05,4.5453e-05
0,historical_VOC2007_trainval_mini_800_200,47,753.539,2.01075,3.0677,2.25283,0.31326,0.11199,0.08961,0.04282,2.11497,3.15598,2.26425,3.71964e-05,3.71964e-05,3.71964e-05
0,historical_VOC2007_trainval_mini_800_200,48,768.614,1.99739,3.06008,2.22943,0.31747,0.11103,0.09469,0.04509,2.10743,3.12978,2.25631,2.89398e-05,2.89398e-05,2.89398e-05
0,historical_VOC2007_trainval_mini_800_200,49,783.705,2.00061,3.05627,2.23892,0.3605,0.10402,0.09337,0.04678,2.1069,3.11484,2.25576,2.06832e-05,2.06832e-05,2.06832e-05
0,historical_VOC2007_trainval_mini_800_200,50,798.887,1.97049,3.06251,2.21366,0.30234,0.11714,0.09712,0.04654,2.11057,3.12227,2.25225,1.24266e-05,1.24266e-05,1.24266e-05
