epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.9554,3.28257,4.64409,3.77005,0.40631,0.01,0.00265,0.00071,2.85448,4.07559,3.31883,0.00332609,0.00332609,0.0700652
2,130.024,2.24119,3.66457,2.70865,0.18021,0.10842,0.04187,0.01795,2.13623,3.65732,2.64951,0.00665901,0.00665901,0.0400648
3,193.778,1.72003,3.02374,2.19048,0.15665,0.1428,0.06469,0.02927,1.95997,3.56602,2.45927,0.00999031,0.00999031,0.0100628
4,252.755,1.55183,2.69617,1.98207,0.16575,0.21415,0.12112,0.0628,1.83637,3.31126,2.30731,0.0099945,0.0099945,0.0099945
5,313.061,1.43275,2.45601,1.85494,0.216,0.25184,0.16577,0.08697,1.75177,3.21413,2.17382,0.00999023,0.00999023,0.00999023
6,361.129,1.34557,2.26802,1.76495,0.29978,0.27847,0.21847,0.11992,1.72601,2.89811,2.13764,0.00998474,0.00998474,0.00998474
7,407.733,1.3036,2.15005,1.71888,0.30105,0.30379,0.23976,0.13384,1.66542,2.90623,2.08503,0.00997803,0.00997803,0.00997803
8,454.214,1.25735,2.04034,1.67267,0.31183,0.28308,0.23857,0.13591,1.683,3.24624,2.08734,0.00997011,0.00997011,0.00997011
9,502.008,1.22078,1.9609,1.64204,0.37485,0.34716,0.30866,0.17899,1.59449,2.71309,1.99704,0.00996097,0.00996097,0.00996097
10,550.296,1.19353,1.89879,1.61358,0.36165,0.32914,0.29073,0.17024,1.61095,2.69714,1.9819,0.00995062,0.00995062,0.00995062
11,600.151,1.17361,1.83451,1.59112,0.41827,0.38561,0.34715,0.20339,1.52638,2.7241,1.92196,0.00993906,0.00993906,0.00993906
12,647.204,1.15577,1.80914,1.57786,0.46211,0.38744,0.37835,0.22724,1.53223,2.56353,1.93555,0.00992629,0.00992629,0.00992629
13,693.063,1.13869,1.76485,1.56177,0.44894,0.38146,0.38981,0.23593,1.4868,2.37166,1.90007,0.00991232,0.00991232,0.00991232
14,739.777,1.11157,1.71408,1.53693,0.47021,0.39453,0.38802,0.23403,1.47288,2.40369,1.85636,0.00989715,0.00989715,0.00989715
15,786.639,1.10622,1.69257,1.52505,0.46037,0.43722,0.42229,0.25519,1.48292,2.41186,1.86901,0.00988079,0.00988079,0.00988079
16,833.801,1.0934,1.65712,1.51537,0.48692,0.43271,0.4342,0.26369,1.47638,2.37031,1.86937,0.00986323,0.00986323,0.00986323
17,880.306,1.07964,1.63209,1.50359,0.50808,0.44327,0.45816,0.28329,1.43505,2.38296,1.81398,0.00984449,0.00984449,0.00984449
