epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.0152,3.27715,4.64948,3.77385,0.51708,0.01716,0.00363,0.00091,2.83609,4.41575,3.31147,0.00332609,0.00332609,0.0700652
2,117.96,2.26899,3.72798,2.72158,0.16819,0.09303,0.0338,0.01375,2.12766,3.69518,2.61771,0.00665901,0.00665901,0.0400648
3,166.846,1.77375,3.0577,2.22308,0.12169,0.16106,0.07207,0.03204,2.01566,3.67942,2.48175,0.00999031,0.00999031,0.0100628
4,213.665,1.61219,2.70461,2.02515,0.15292,0.21734,0.10873,0.05462,1.83059,3.22118,2.29949,0.0099945,0.0099945,0.0099945
5,260.349,1.48703,2.44986,1.89532,0.28264,0.24544,0.18125,0.09716,1.70922,2.91861,2.12805,0.00999023,0.00999023,0.00999023
6,305.01,1.39727,2.26131,1.80418,0.28389,0.3025,0.21993,0.12076,1.73773,2.90117,2.11239,0.00998474,0.00998474,0.00998474
7,350.699,1.35132,2.14119,1.75021,0.33592,0.32489,0.26538,0.14831,1.63787,2.79038,2.02364,0.00997803,0.00997803,0.00997803
8,397.309,1.30354,2.0317,1.7054,0.35592,0.3442,0.2874,0.16183,1.61344,2.7608,2.0103,0.00997011,0.00997011,0.00997011
9,442.364,1.26805,1.94726,1.67205,0.37134,0.35564,0.32119,0.18463,1.58539,2.55722,1.96605,0.00996097,0.00996097,0.00996097
10,488.252,1.24026,1.88376,1.64213,0.43499,0.37155,0.3467,0.20194,1.55603,2.39344,1.93302,0.00995062,0.00995062,0.00995062
11,535.34,1.22189,1.82838,1.61988,0.42246,0.39348,0.36401,0.21084,1.54098,2.34799,1.9102,0.00993906,0.00993906,0.00993906
12,581.938,1.20168,1.78754,1.60376,0.44485,0.40919,0.38697,0.22765,1.53655,2.44443,1.91022,0.00992629,0.00992629,0.00992629
13,627.857,1.18324,1.7416,1.58686,0.44961,0.39918,0.40125,0.24241,1.4901,2.39857,1.86391,0.00991232,0.00991232,0.00991232
14,674.508,1.15759,1.69986,1.56404,0.48448,0.41354,0.40704,0.24197,1.48449,2.36829,1.85119,0.00989715,0.00989715,0.00989715
15,721.268,1.15246,1.66944,1.5535,0.5098,0.43003,0.43997,0.26439,1.46541,2.29229,1.83343,0.00988079,0.00988079,0.00988079
16,768.077,1.13679,1.6379,1.53833,0.51224,0.45835,0.45823,0.27833,1.45485,2.23322,1.83173,0.00986323,0.00986323,0.00986323
17,815.156,1.12577,1.61252,1.52843,0.50619,0.46661,0.46344,0.28529,1.43528,2.24009,1.80266,0.00984449,0.00984449,0.00984449
18,861.106,1.11392,1.58605,1.51615,0.5331,0.45334,0.4744,0.29215,1.43918,2.30641,1.80198,0.00982456,0.00982456,0.00982456
19,908.465,1.10902,1.56089,1.50375,0.54786,0.46649,0.48367,0.29869,1.41555,2.29782,1.7793,0.00980345,0.00980345,0.00980345
20,954.814,1.09979,1.54258,1.49993,0.56711,0.46908,0.50261,0.31301,1.40531,2.22954,1.7825,0.00978118,0.00978118,0.00978118
21,1002.34,1.08784,1.5172,1.48677,0.57192,0.46944,0.49975,0.31281,1.40289,2.31068,1.77161,0.00975773,0.00975773,0.00975773
22,1048.96,1.08195,1.50744,1.48232,0.56657,0.48344,0.51256,0.32293,1.38139,2.21715,1.74456,0.00973312,0.00973312,0.00973312
23,1095.16,1.07708,1.49249,1.47646,0.59345,0.49683,0.53291,0.33664,1.3847,2.15817,1.73338,0.00970736,0.00970736,0.00970736
24,1141.57,1.06751,1.47779,1.46557,0.58456,0.50409,0.53769,0.33851,1.37342,2.14187,1.74201,0.00968045,0.00968045,0.00968045
25,1187.35,1.06194,1.4511,1.46188,0.62069,0.50454,0.55405,0.35164,1.36444,2.07071,1.72254,0.00965239,0.00965239,0.00965239
26,1234.05,1.06264,1.44646,1.45773,0.62278,0.49589,0.55346,0.35163,1.35096,2.07851,1.70668,0.0096232,0.0096232,0.0096232
27,1281.16,1.05164,1.4326,1.44929,0.62378,0.50545,0.56331,0.36433,1.34304,2.00052,1.70099,0.00959289,0.00959289,0.00959289
28,1327.88,1.04643,1.41888,1.44436,0.63203,0.51761,0.57169,0.36839,1.33549,2.00064,1.69372,0.00956145,0.00956145,0.00956145
29,1373.44,1.03653,1.40269,1.43756,0.62742,0.52279,0.57121,0.36834,1.32591,2.07167,1.6909,0.00952889,0.00952889,0.00952889
30,1419.25,1.03416,1.40309,1.43264,0.62407,0.53441,0.58173,0.37906,1.3114,1.97738,1.66919,0.00949524,0.00949524,0.00949524
31,1466.57,1.02791,1.37692,1.42432,0.62279,0.53613,0.58345,0.38088,1.31272,2.03069,1.67094,0.00946048,0.00946048,0.00946048
32,1513.67,1.02034,1.36535,1.41873,0.64406,0.529,0.59043,0.38523,1.30628,1.96308,1.66368,0.00942464,0.00942464,0.00942464
33,1558.69,1.01702,1.35913,1.41986,0.62993,0.54604,0.59639,0.39271,1.30277,1.94955,1.6624,0.00938772,0.00938772,0.00938772
