epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,81.4351,3.29952,4.59467,3.79148,0.45527,0.00414,0.00125,0.0003,3.00193,4.34455,3.44075,0.00332609,0.00332609,0.0700652
2,142.499,2.27162,3.58538,2.70838,0.15513,0.09939,0.03846,0.01586,2.1613,4.11478,2.64208,0.00665901,0.00665901,0.0400648
3,193.174,1.70118,2.92194,2.14211,0.11716,0.16172,0.07396,0.0335,1.97922,3.68416,2.48109,0.00999031,0.00999031,0.0100628
4,263.289,1.53452,2.59416,1.94495,0.15407,0.22038,0.11901,0.06108,1.85852,3.91273,2.3005,0.0099945,0.0099945,0.0099945
5,316.767,1.42045,2.37734,1.8322,0.23697,0.23296,0.17145,0.09245,1.7566,3.49213,2.20819,0.00999023,0.00999023,0.00999023
6,369.178,1.33619,2.21474,1.74943,0.29444,0.27006,0.22024,0.12169,1.73109,3.45176,2.12983,0.00998474,0.00998474,0.00998474
7,421.897,1.29668,2.11873,1.70215,0.30483,0.28881,0.23675,0.13082,1.69948,3.2586,2.12074,0.00997803,0.00997803,0.00997803
8,479.791,1.25162,2.0116,1.66138,0.31925,0.31786,0.26183,0.14875,1.63998,3.4156,2.0598,0.00997011,0.00997011,0.00997011
9,536.443,1.21324,1.93306,1.63088,0.34139,0.34598,0.28341,0.16176,1.60427,3.4645,2.01814,0.00996097,0.00996097,0.00996097
10,593.604,1.18795,1.87147,1.60009,0.40821,0.36519,0.32675,0.19129,1.57751,2.96851,1.96075,0.00995062,0.00995062,0.00995062
11,651.639,1.16906,1.81443,1.58014,0.40819,0.37007,0.34843,0.20548,1.54833,3.08863,1.93962,0.00993906,0.00993906,0.00993906
12,701.783,1.147,1.78369,1.56608,0.44532,0.36912,0.36106,0.21479,1.53731,3.10058,1.93459,0.00992629,0.00992629,0.00992629
13,752.254,1.12799,1.74076,1.54861,0.43666,0.38299,0.37814,0.22725,1.52168,3.06005,1.90807,0.00991232,0.00991232,0.00991232
14,818.862,1.10209,1.69686,1.5243,0.48579,0.39472,0.39963,0.24076,1.48916,2.89114,1.87576,0.00989715,0.00989715,0.00989715
15,874.034,1.09468,1.66755,1.51301,0.47321,0.40616,0.40582,0.24581,1.47755,2.98067,1.87469,0.00988079,0.00988079,0.00988079
16,926.069,1.08104,1.63178,1.4987,0.48625,0.42072,0.41391,0.2518,1.47336,2.76368,1.84773,0.00986323,0.00986323,0.00986323
17,977.117,1.06994,1.60506,1.49118,0.50276,0.43628,0.43612,0.26559,1.46722,2.76012,1.83822,0.00984449,0.00984449,0.00984449
18,1034.37,1.06206,1.58279,1.48486,0.51587,0.4262,0.44531,0.27455,1.44723,3.04631,1.81726,0.00982456,0.00982456,0.00982456
19,1091.86,1.05399,1.55808,1.4712,0.5379,0.44377,0.45976,0.28537,1.43789,2.86067,1.82106,0.00980345,0.00980345,0.00980345
20,1148.17,1.04464,1.54261,1.46558,0.55038,0.44642,0.47619,0.2954,1.42018,2.73424,1.79635,0.00978118,0.00978118,0.00978118
21,1203.79,1.0349,1.52174,1.45431,0.55126,0.45655,0.49132,0.30925,1.42006,2.74989,1.79542,0.00975773,0.00975773,0.00975773
22,1257.81,1.02459,1.50299,1.44962,0.54789,0.46244,0.48765,0.3075,1.39364,2.76124,1.77362,0.00973312,0.00973312,0.00973312
23,1307.53,1.02197,1.48798,1.44324,0.56615,0.47391,0.50411,0.31972,1.38893,2.76588,1.76764,0.00970736,0.00970736,0.00970736
24,1360.98,1.0104,1.47201,1.4328,0.57735,0.47595,0.51312,0.32583,1.38713,2.7167,1.77106,0.00968045,0.00968045,0.00968045
25,1416.6,1.00426,1.45376,1.43099,0.58409,0.4747,0.51307,0.328,1.37641,2.61632,1.75051,0.00965239,0.00965239,0.00965239
26,1473.02,1.00636,1.44514,1.42579,0.5822,0.49455,0.52221,0.33554,1.36311,2.66989,1.72823,0.0096232,0.0096232,0.0096232
27,1529.26,0.99705,1.43515,1.41703,0.59653,0.48629,0.53653,0.34456,1.35919,2.62061,1.72838,0.00959289,0.00959289,0.00959289
28,1582.34,0.99254,1.42168,1.41526,0.59761,0.50028,0.53891,0.34728,1.34862,2.649,1.71747,0.00956145,0.00956145,0.00956145
29,1631.62,0.97855,1.40127,1.40475,0.60006,0.50253,0.54307,0.35004,1.34096,2.59036,1.72682,0.00952889,0.00952889,0.00952889
30,1685.84,0.97735,1.40294,1.40436,0.59986,0.50925,0.55284,0.36123,1.32475,2.62775,1.69989,0.00949524,0.00949524,0.00949524
31,1744.51,0.97164,1.38056,1.39413,0.60709,0.49677,0.54781,0.35867,1.3407,2.65457,1.71109,0.00946048,0.00946048,0.00946048
32,1800.76,0.96645,1.36541,1.39014,0.61639,0.5109,0.56526,0.37008,1.31648,2.55056,1.68303,0.00942464,0.00942464,0.00942464
33,1857.43,0.96212,1.35848,1.38711,0.63316,0.49753,0.55779,0.36713,1.31748,2.54228,1.68584,0.00938772,0.00938772,0.00938772
34,1908.32,0.9563,1.34778,1.38136,0.62552,0.52023,0.57579,0.38258,1.30642,2.50967,1.67211,0.00934973,0.00934973,0.00934973
35,1958.9,0.95139,1.34186,1.37931,0.65196,0.51522,0.57887,0.38357,1.30304,2.50785,1.67162,0.00931067,0.00931067,0.00931067
36,2014.36,0.9514,1.33187,1.37503,0.63376,0.51621,0.57675,0.38285,1.30242,2.53858,1.66931,0.00927057,0.00927057,0.00927057
37,2069.7,0.94549,1.32119,1.36807,0.621,0.52574,0.57705,0.38133,1.30482,2.51571,1.67252,0.00922942,0.00922942,0.00922942
38,2127.46,0.94772,1.3194,1.36773,0.64794,0.51775,0.5802,0.38428,1.29209,2.55631,1.65593,0.00918725,0.00918725,0.00918725
39,2182.54,0.93612,1.30417,1.35827,0.65295,0.52286,0.58836,0.39143,1.28363,2.52403,1.64935,0.00914405,0.00914405,0.00914405
40,2233.19,0.93341,1.29816,1.35885,0.6408,0.54065,0.59337,0.39618,1.28193,2.50498,1.64853,0.00909984,0.00909984,0.00909984
41,2286.92,0.93147,1.29242,1.35525,0.64516,0.53371,0.59492,0.39609,1.27778,2.48881,1.64686,0.00905463,0.00905463,0.00905463
42,2341.83,0.92734,1.2785,1.34977,0.65407,0.5269,0.5962,0.39701,1.28257,2.48974,1.64896,0.00900844,0.00900844,0.00900844
43,2398.84,0.93107,1.27048,1.34916,0.64594,0.548,0.60479,0.40361,1.27551,2.45367,1.64,0.00896127,0.00896127,0.00896127
44,2454.89,0.91864,1.26123,1.34044,0.64989,0.54355,0.60495,0.40267,1.26868,2.41993,1.63353,0.00891313,0.00891313,0.00891313
45,2509.65,0.92052,1.26213,1.34298,0.65908,0.5448,0.60877,0.4064,1.26503,2.44037,1.62933,0.00886404,0.00886404,0.00886404
46,2559.18,0.91772,1.25728,1.33974,0.67148,0.54073,0.61175,0.4108,1.26095,2.48613,1.625,0.00881401,0.00881401,0.00881401
47,2611.32,0.91166,1.24401,1.33322,0.6628,0.54415,0.6135,0.41278,1.25372,2.44713,1.62007,0.00876305,0.00876305,0.00876305
48,2668.73,0.91006,1.23982,1.33007,0.64775,0.55884,0.61468,0.41396,1.25377,2.41549,1.61935,0.00871117,0.00871117,0.00871117
49,2725.55,0.9097,1.23608,1.33209,0.66449,0.54775,0.61588,0.41395,1.25492,2.41255,1.61988,0.00865839,0.00865839,0.00865839
50,2781.39,0.90259,1.2183,1.32626,0.66957,0.55503,0.61991,0.41715,1.25521,2.4169,1.61986,0.00860473,0.00860473,0.00860473
51,2834.66,0.90602,1.21856,1.32846,0.66857,0.55864,0.62178,0.41912,1.25139,2.40909,1.61406,0.00855018,0.00855018,0.00855018
52,2887.29,0.89789,1.21097,1.31949,0.67762,0.551,0.62438,0.42178,1.24519,2.40432,1.60752,0.00849477,0.00849477,0.00849477
53,2939.4,0.89901,1.20307,1.31888,0.67024,0.56101,0.62611,0.42349,1.24377,2.40021,1.60313,0.00843851,0.00843851,0.00843851
54,2995.79,0.90116,1.20583,1.3173,0.66665,0.56748,0.62763,0.42468,1.24153,2.39893,1.60085,0.00838141,0.00838141,0.00838141
55,3052.89,0.89397,1.20427,1.31662,0.67895,0.56296,0.62827,0.42691,1.23802,2.38556,1.59801,0.00832349,0.00832349,0.00832349
56,3105.2,0.88753,1.18821,1.31093,0.68982,0.55809,0.6306,0.42879,1.23534,2.38518,1.595,0.00826477,0.00826477,0.00826477
57,3157.98,0.88896,1.1872,1.31295,0.69664,0.55349,0.63327,0.43067,1.23372,2.38517,1.59288,0.00820525,0.00820525,0.00820525
58,3210.67,0.88578,1.17014,1.30739,0.69601,0.55471,0.63508,0.43175,1.23276,2.38095,1.59128,0.00814495,0.00814495,0.00814495
59,3267.76,0.88248,1.16852,1.3034,0.69261,0.56411,0.63668,0.43356,1.23011,2.37031,1.58724,0.00808389,0.00808389,0.00808389
60,3324.88,0.87844,1.16801,1.29766,0.69369,0.56477,0.63857,0.43475,1.22652,2.36026,1.58277,0.00802208,0.00802208,0.00802208
61,3384.63,0.88252,1.16178,1.30416,0.68479,0.57418,0.63966,0.43584,1.22346,2.36281,1.57943,0.00795954,0.00795954,0.00795954
62,3439.33,0.87227,1.15048,1.29685,0.69928,0.56801,0.64058,0.43658,1.22239,2.35892,1.57746,0.00789628,0.00789628,0.00789628
63,3495.76,0.87611,1.15343,1.29526,0.68912,0.57042,0.64023,0.43697,1.22178,2.35863,1.57689,0.00783231,0.00783231,0.00783231
64,3552.3,0.87568,1.15028,1.29584,0.69337,0.56886,0.64139,0.43765,1.22216,2.35595,1.57569,0.00776766,0.00776766,0.00776766
65,3605.8,0.87217,1.14539,1.29266,0.69093,0.57053,0.64253,0.43898,1.22131,2.35216,1.57393,0.00770234,0.00770234,0.00770234
66,3656.6,0.87535,1.14606,1.295,0.69598,0.56653,0.64313,0.43981,1.21951,2.35335,1.57192,0.00763637,0.00763637,0.00763637
67,3710.32,0.86627,1.13041,1.28859,0.68946,0.57242,0.64442,0.44075,1.2185,2.35082,1.57141,0.00756976,0.00756976,0.00756976
68,3767.3,0.86781,1.12492,1.28795,0.68806,0.57697,0.6462,0.44183,1.21808,2.34821,1.57014,0.00750252,0.00750252,0.00750252
69,3824.51,0.86266,1.11815,1.28591,0.68426,0.58121,0.64753,0.44238,1.21652,2.34287,1.56821,0.00743468,0.00743468,0.00743468
70,3877.84,0.86212,1.11781,1.28334,0.6879,0.58176,0.64847,0.44271,1.21518,2.34115,1.56661,0.00736625,0.00736625,0.00736625
71,3930.32,0.85836,1.10965,1.27937,0.69922,0.57571,0.6494,0.44407,1.21368,2.33949,1.5652,0.00729725,0.00729725,0.00729725
