epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.2716,3.27508,4.65153,3.79272,0.30347,0.0244,0.00205,0.00053,2.91185,4.36379,3.37333,0.00332609,0.00332609,0.0700652
2,114.264,2.303,3.73926,2.7651,0.13509,0.13599,0.03921,0.01529,2.10791,3.72563,2.63487,0.00665901,0.00665901,0.0400648
3,160.9,1.7458,3.06253,2.21462,0.1245,0.1552,0.07623,0.03335,1.98946,3.4082,2.48928,0.00999031,0.00999031,0.0100628
4,208.602,1.57012,2.71926,2.00998,0.1681,0.2115,0.10829,0.05391,1.79593,3.29783,2.2962,0.0099945,0.0099945,0.0099945
5,253.695,1.44415,2.47521,1.87225,0.25846,0.25723,0.18138,0.09598,1.70506,2.8902,2.17497,0.00999023,0.00999023,0.00999023
6,300.08,1.3572,2.29122,1.77973,0.31305,0.28085,0.23156,0.12516,1.68126,2.9611,2.09696,0.00998474,0.00998474,0.00998474
7,345.139,1.31294,2.17255,1.72552,0.33624,0.33255,0.27816,0.15732,1.62978,2.61688,2.03238,0.00997803,0.00997803,0.00997803
8,391.352,1.27008,2.06232,1.68288,0.34723,0.33627,0.28174,0.15903,1.6013,2.83297,2.01656,0.00997011,0.00997011,0.00997011
9,437.766,1.23654,1.98289,1.65194,0.35078,0.33831,0.29989,0.17389,1.58085,2.75519,1.98237,0.00996097,0.00996097,0.00996097
10,484.281,1.21044,1.9214,1.62327,0.40272,0.38817,0.34182,0.19516,1.54773,2.29676,1.93268,0.00995062,0.00995062,0.00995062
11,530.097,1.19275,1.86418,1.60613,0.42865,0.39705,0.37353,0.22116,1.50481,2.44283,1.90745,0.00993906,0.00993906,0.00993906
12,576.548,1.17094,1.8259,1.59008,0.46327,0.39243,0.38795,0.23097,1.51563,2.56158,1.92725,0.00992629,0.00992629,0.00992629
13,623.036,1.15154,1.78255,1.57218,0.44053,0.42925,0.40335,0.24355,1.47629,2.33426,1.867,0.00991232,0.00991232,0.00991232
14,669.416,1.12931,1.73475,1.55076,0.49902,0.42105,0.42465,0.25615,1.46959,2.33514,1.8523,0.00989715,0.00989715,0.00989715
15,717.153,1.12256,1.70736,1.53985,0.49541,0.44272,0.4444,0.26875,1.43325,2.28364,1.81437,0.00988079,0.00988079,0.00988079
16,763.08,1.10675,1.66861,1.52587,0.48148,0.43754,0.43415,0.26545,1.45703,2.37546,1.84691,0.00986323,0.00986323,0.00986323
17,808.827,1.09393,1.64574,1.51502,0.5335,0.46052,0.47766,0.29568,1.41884,2.19264,1.79184,0.00984449,0.00984449,0.00984449
18,854.666,1.08418,1.61898,1.50653,0.54797,0.46027,0.48556,0.30124,1.40268,2.10584,1.78762,0.00982456,0.00982456,0.00982456
19,900.353,1.07635,1.59159,1.49473,0.54189,0.46004,0.48167,0.2977,1.39911,2.1422,1.77446,0.00980345,0.00980345,0.00980345
20,946.771,1.06767,1.58116,1.48942,0.56671,0.47769,0.5073,0.31803,1.37693,2.16554,1.7638,0.00978118,0.00978118,0.00978118
21,993.891,1.05849,1.54729,1.47733,0.56468,0.4835,0.5132,0.3237,1.36564,2.16844,1.7468,0.00975773,0.00975773,0.00975773
22,1039.82,1.04731,1.53884,1.47053,0.5631,0.48308,0.51455,0.32592,1.36038,2.13635,1.7361,0.00973312,0.00973312,0.00973312
23,1085.71,1.04462,1.5235,1.4632,0.60091,0.48359,0.52965,0.33603,1.36615,2.17044,1.73965,0.00970736,0.00970736,0.00970736
24,1131.77,1.03492,1.50465,1.4541,0.61571,0.48567,0.53431,0.34045,1.33857,2.09104,1.71538,0.00968045,0.00968045,0.00968045
25,1176.62,1.02988,1.48125,1.45062,0.61795,0.49592,0.54993,0.35108,1.33696,2.04317,1.71085,0.00965239,0.00965239,0.00965239
26,1220.43,1.02908,1.47378,1.44623,0.59512,0.50522,0.5479,0.35098,1.33045,2.04646,1.70414,0.0096232,0.0096232,0.0096232
27,1265.94,1.02111,1.46184,1.43713,0.61624,0.51034,0.56343,0.36269,1.31494,2.0296,1.68979,0.00959289,0.00959289,0.00959289
28,1310.82,1.01777,1.44772,1.43536,0.64354,0.5109,0.5705,0.36997,1.30487,2.04822,1.68229,0.00956145,0.00956145,0.00956145
29,1356.96,1.00713,1.43627,1.42918,0.61864,0.51219,0.56686,0.36437,1.31727,2.08571,1.69761,0.00952889,0.00952889,0.00952889
30,1402.03,1.00134,1.43428,1.42417,0.62434,0.52107,0.57443,0.37319,1.29975,2.04689,1.68023,0.00949524,0.00949524,0.00949524
31,1449.15,0.99598,1.40697,1.41494,0.60472,0.54562,0.58215,0.38166,1.29338,2.03865,1.66596,0.00946048,0.00946048,0.00946048
32,1495.61,0.99223,1.40051,1.4126,0.63498,0.53858,0.58963,0.38453,1.29254,1.99931,1.67319,0.00942464,0.00942464,0.00942464
33,1539.97,0.98702,1.38668,1.40926,0.65335,0.52689,0.59171,0.38685,1.28581,1.97615,1.65854,0.00938772,0.00938772,0.00938772
34,1585.32,0.98104,1.37612,1.40081,0.66561,0.53624,0.60247,0.39753,1.27919,1.92847,1.65078,0.00934973,0.00934973,0.00934973
35,1631.47,0.97478,1.37362,1.39798,0.64547,0.54688,0.60333,0.39972,1.26805,1.94886,1.64311,0.00931067,0.00931067,0.00931067
36,1677.61,0.97571,1.35741,1.39392,0.63583,0.55307,0.60668,0.40278,1.26735,1.91027,1.63724,0.00927057,0.00927057,0.00927057
37,1723.5,0.97151,1.34843,1.39025,0.66147,0.53958,0.60419,0.4022,1.26364,1.96353,1.62998,0.00922942,0.00922942,0.00922942
38,1768.74,0.97202,1.34595,1.38843,0.67446,0.53477,0.61028,0.40636,1.2596,1.97818,1.63101,0.00918725,0.00918725,0.00918725
39,1814.91,0.96183,1.33407,1.38074,0.66281,0.5524,0.61386,0.41,1.24973,1.91952,1.62557,0.00914405,0.00914405,0.00914405
40,1861.24,0.95826,1.32806,1.37908,0.68363,0.54537,0.62171,0.41546,1.24639,1.89741,1.62022,0.00909984,0.00909984,0.00909984
41,1909.18,0.95784,1.31903,1.37577,0.67761,0.55046,0.62098,0.41694,1.24845,1.92576,1.61751,0.00905463,0.00905463,0.00905463
42,1955.05,0.95201,1.30811,1.36762,0.67889,0.55549,0.62611,0.42163,1.2436,1.90326,1.61299,0.00900844,0.00900844,0.00900844
43,2001.66,0.95352,1.29763,1.36681,0.6834,0.56414,0.62973,0.42237,1.24208,1.90217,1.60798,0.00896127,0.00896127,0.00896127
44,2047.8,0.94388,1.28648,1.36095,0.68171,0.55959,0.63,0.42237,1.23495,1.88622,1.59917,0.00891313,0.00891313,0.00891313
45,2092.68,0.94806,1.29347,1.36529,0.68553,0.56808,0.63652,0.42763,1.23608,1.87747,1.59945,0.00886404,0.00886404,0.00886404
46,2138.6,0.94211,1.2843,1.36057,0.68503,0.57592,0.63864,0.42964,1.23408,1.87543,1.59756,0.00881401,0.00881401,0.00881401
47,2184.62,0.93938,1.27284,1.35456,0.68718,0.57564,0.64147,0.43351,1.22593,1.8676,1.592,0.00876305,0.00876305,0.00876305
48,2230.59,0.93845,1.2645,1.35198,0.69872,0.57173,0.6451,0.43582,1.22533,1.84978,1.58772,0.00871117,0.00871117,0.00871117
49,2276.32,0.93632,1.26094,1.35058,0.72216,0.56477,0.65107,0.44009,1.2205,1.81166,1.58265,0.00865839,0.00865839,0.00865839
50,2321.94,0.93137,1.24987,1.34699,0.70774,0.57095,0.65207,0.44323,1.2161,1.8153,1.57882,0.00860473,0.00860473,0.00860473
51,2367.4,0.93105,1.24765,1.34643,0.71115,0.57324,0.65541,0.44584,1.21322,1.80107,1.57518,0.00855018,0.00855018,0.00855018
