epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,88.1632,3.27553,4.63559,3.77489,0.40313,0.01516,0.00256,0.00077,2.88711,4.45518,3.33828,0.00332609,0.00332609,0.0700652
2,155.628,2.28366,3.71738,2.74436,0.16896,0.10413,0.03827,0.0154,2.09879,3.68341,2.61375,0.00665901,0.00665901,0.0400648
3,202.946,1.77149,3.05348,2.22649,0.14856,0.17817,0.08771,0.04002,1.9321,3.30836,2.44905,0.00999031,0.00999031,0.0100628
4,249.773,1.61629,2.72388,2.03411,0.16759,0.21365,0.12635,0.06383,1.81826,3.06463,2.26829,0.0099945,0.0099945,0.0099945
5,295.377,1.49517,2.47714,1.90311,0.26792,0.26548,0.17976,0.0924,1.72619,2.85757,2.16393,0.00999023,0.00999023,0.00999023
6,341.995,1.40661,2.29094,1.81298,0.29077,0.28947,0.22324,0.12156,1.71589,2.84043,2.08889,0.00998474,0.00998474,0.00998474
7,388.218,1.35913,2.1659,1.75576,0.31169,0.32863,0.26426,0.14628,1.66616,2.60057,2.04969,0.00997803,0.00997803,0.00997803
8,434.644,1.31384,2.05577,1.71251,0.37002,0.34405,0.29657,0.16683,1.60797,2.65647,2.01622,0.00997011,0.00997011,0.00997011
9,482.158,1.2766,1.97119,1.67675,0.34907,0.33933,0.29856,0.17379,1.58309,2.78133,1.97156,0.00996097,0.00996097,0.00996097
10,528.949,1.24979,1.91022,1.64947,0.39996,0.38342,0.33773,0.19406,1.56433,2.57,1.94939,0.00995062,0.00995062,0.00995062
11,576.415,1.2288,1.8492,1.62578,0.42523,0.37151,0.34773,0.19903,1.58105,2.47931,1.95829,0.00993906,0.00993906,0.00993906
12,623.142,1.20854,1.81352,1.60872,0.43457,0.39145,0.37486,0.221,1.54486,2.52904,1.92299,0.00992629,0.00992629,0.00992629
13,668.934,1.18998,1.77119,1.59314,0.45015,0.40577,0.39648,0.23701,1.51071,2.27025,1.87842,0.00991232,0.00991232,0.00991232
14,715.885,1.16922,1.72384,1.57255,0.48317,0.41657,0.41796,0.25273,1.49862,2.30365,1.8629,0.00989715,0.00989715,0.00989715
15,760.203,1.16001,1.70148,1.56037,0.48585,0.42894,0.43054,0.25913,1.47595,2.34091,1.85741,0.00988079,0.00988079,0.00988079
16,807.131,1.14544,1.65976,1.54694,0.49873,0.43957,0.44689,0.27249,1.4597,2.17669,1.82557,0.00986323,0.00986323,0.00986323
17,853.585,1.13658,1.63338,1.53778,0.52364,0.45049,0.46418,0.28657,1.44927,2.25182,1.8187,0.00984449,0.00984449,0.00984449
18,900.291,1.12397,1.60782,1.5276,0.52988,0.45645,0.46702,0.28814,1.42266,2.19191,1.79448,0.00982456,0.00982456,0.00982456
19,945.744,1.11597,1.58385,1.51291,0.53042,0.47079,0.48227,0.30028,1.43363,2.22937,1.80692,0.00980345,0.00980345,0.00980345
20,991.621,1.10835,1.5644,1.50596,0.55309,0.46783,0.49234,0.30517,1.40703,2.27685,1.77674,0.00978118,0.00978118,0.00978118
21,1039.27,1.09798,1.53671,1.49553,0.56439,0.47967,0.50926,0.31843,1.40496,2.15385,1.77303,0.00975773,0.00975773,0.00975773
22,1084.97,1.0878,1.52247,1.4898,0.57933,0.48358,0.51542,0.32407,1.3889,2.21728,1.74104,0.00973312,0.00973312,0.00973312
23,1130.45,1.08546,1.51731,1.48495,0.57268,0.49575,0.52401,0.32841,1.39629,2.24755,1.75483,0.00970736,0.00970736,0.00970736
24,1176.42,1.074,1.49557,1.47537,0.60391,0.48978,0.53653,0.34069,1.37858,2.15317,1.74562,0.00968045,0.00968045,0.00968045
25,1222.69,1.06759,1.46797,1.46676,0.61518,0.49313,0.54511,0.34811,1.36943,2.09638,1.72403,0.00965239,0.00965239,0.00965239
26,1269.3,1.06796,1.4656,1.46797,0.60241,0.50625,0.54612,0.34889,1.3553,2.12407,1.72142,0.0096232,0.0096232,0.0096232
27,1316.68,1.05789,1.44682,1.45581,0.6102,0.51622,0.56173,0.3632,1.35187,1.99381,1.71085,0.00959289,0.00959289,0.00959289
28,1363.29,1.0574,1.43775,1.45647,0.62258,0.50631,0.56294,0.364,1.34458,2.12498,1.71236,0.00956145,0.00956145,0.00956145
29,1410,1.04283,1.41817,1.44533,0.62166,0.51134,0.56132,0.36345,1.34087,2.16274,1.71235,0.00952889,0.00952889,0.00952889
30,1456.73,1.03759,1.41487,1.4396,0.62131,0.53514,0.57401,0.37503,1.32924,2.04916,1.69609,0.00949524,0.00949524,0.00949524
31,1504.04,1.03747,1.39374,1.43515,0.60705,0.53139,0.57908,0.37805,1.31846,2.0174,1.6829,0.00946048,0.00946048,0.00946048
32,1548.74,1.03107,1.38151,1.43056,0.63273,0.53099,0.58894,0.38473,1.32287,1.97408,1.68519,0.00942464,0.00942464,0.00942464
33,1593.06,1.02386,1.37178,1.42715,0.63613,0.53308,0.58582,0.38285,1.31546,2.00582,1.68025,0.00938772,0.00938772,0.00938772
34,1639.03,1.01997,1.35712,1.42001,0.62712,0.55743,0.60115,0.39769,1.30728,1.93564,1.6636,0.00934973,0.00934973,0.00934973
35,1685.98,1.01364,1.35502,1.41737,0.64582,0.55016,0.60134,0.39792,1.2966,1.96879,1.65765,0.00931067,0.00931067,0.00931067
36,1732.27,1.01671,1.3418,1.4156,0.63621,0.55414,0.60067,0.39883,1.29455,1.95815,1.65816,0.00927057,0.00927057,0.00927057
37,1779.04,1.00754,1.33196,1.40739,0.64371,0.54773,0.6025,0.39978,1.29426,2.02187,1.64981,0.00922942,0.00922942,0.00922942
38,1826.04,1.01293,1.32883,1.41094,0.64595,0.56526,0.61071,0.40863,1.28351,1.94345,1.64013,0.00918725,0.00918725,0.00918725
39,1872.06,0.99888,1.32061,1.39739,0.64027,0.5692,0.61203,0.40779,1.27601,1.96307,1.63289,0.00914405,0.00914405,0.00914405
40,1917.73,0.99767,1.3132,1.39947,0.65933,0.55953,0.61532,0.41056,1.27898,1.92319,1.63557,0.00909984,0.00909984,0.00909984
41,1964.41,0.99418,1.29998,1.39494,0.66653,0.56023,0.61815,0.41296,1.27405,1.94866,1.62945,0.00905463,0.00905463,0.00905463
42,2009.92,0.99136,1.29312,1.38887,0.66582,0.57095,0.62513,0.41746,1.26954,1.93819,1.62169,0.00900844,0.00900844,0.00900844
43,2054.22,0.98878,1.28515,1.38513,0.66113,0.57514,0.62685,0.41935,1.2639,1.90125,1.6157,0.00896127,0.00896127,0.00896127
44,2099.11,0.98361,1.2722,1.38147,0.67467,0.56957,0.63044,0.42236,1.26408,1.88627,1.61665,0.00891313,0.00891313,0.00891313
45,2144.26,0.98556,1.27556,1.38406,0.666,0.58243,0.63378,0.42646,1.26172,1.88799,1.61124,0.00886404,0.00886404,0.00886404
46,2189.26,0.98078,1.26498,1.37758,0.66364,0.57983,0.63461,0.42673,1.25678,1.92193,1.60239,0.00881401,0.00881401,0.00881401
47,2234.38,0.97703,1.24782,1.37349,0.66849,0.58686,0.64046,0.43138,1.25374,1.91909,1.60104,0.00876305,0.00876305,0.00876305
48,2279.29,0.9747,1.25054,1.36764,0.67742,0.57648,0.64213,0.43424,1.24798,1.90552,1.59717,0.00871117,0.00871117,0.00871117
49,2324.22,0.9748,1.24403,1.36965,0.67405,0.58523,0.64486,0.43769,1.24066,1.89672,1.59204,0.00865839,0.00865839,0.00865839
50,2369.45,0.96515,1.23163,1.36159,0.68431,0.57761,0.64451,0.43687,1.24152,1.89126,1.59361,0.00860473,0.00860473,0.00860473
51,2416.66,0.96763,1.2279,1.36448,0.68008,0.58224,0.64627,0.43951,1.23833,1.89722,1.59072,0.00855018,0.00855018,0.00855018
52,2461.82,0.95675,1.22191,1.35386,0.68719,0.5827,0.64839,0.44184,1.23617,1.89098,1.58764,0.00849477,0.00849477,0.00849477
53,2506.51,0.96105,1.21831,1.35562,0.67817,0.58919,0.64919,0.44271,1.23561,1.88229,1.58635,0.00843851,0.00843851,0.00843851
54,2550.94,0.96182,1.21191,1.3526,0.67655,0.59439,0.6498,0.44317,1.23262,1.88011,1.58312,0.00838141,0.00838141,0.00838141
55,2595.38,0.957,1.21259,1.35149,0.67898,0.59558,0.65122,0.44315,1.2312,1.87786,1.58145,0.00832349,0.00832349,0.00832349
56,2640.29,0.94982,1.19903,1.34684,0.67115,0.60435,0.65406,0.44591,1.22968,1.86574,1.57804,0.00826477,0.00826477,0.00826477
57,2684.48,0.94972,1.1994,1.34849,0.67325,0.60627,0.65454,0.44615,1.22983,1.87835,1.57874,0.00820525,0.00820525,0.00820525
58,2729.26,0.94597,1.17746,1.34151,0.68094,0.6039,0.65642,0.44722,1.22881,1.86949,1.57876,0.00814495,0.00814495,0.00814495
59,2773.53,0.94473,1.17547,1.33873,0.69171,0.59971,0.65999,0.45007,1.2246,1.86656,1.57498,0.00808389,0.00808389,0.00808389
60,2818.75,0.93972,1.17033,1.33201,0.69393,0.59772,0.66148,0.45163,1.2232,1.86433,1.57438,0.00802208,0.00802208,0.00802208
61,2863.11,0.93912,1.16875,1.33344,0.6964,0.59598,0.66349,0.45273,1.22038,1.85495,1.56991,0.00795954,0.00795954,0.00795954
62,2906.49,0.93297,1.16285,1.33374,0.69247,0.60148,0.66557,0.45462,1.21844,1.85053,1.56836,0.00789628,0.00789628,0.00789628
63,2951.56,0.93591,1.15924,1.32892,0.70448,0.59821,0.66644,0.45584,1.21732,1.84798,1.56613,0.00783231,0.00783231,0.00783231
64,2996.37,0.93772,1.15881,1.33086,0.69635,0.60542,0.66819,0.45723,1.21727,1.84302,1.56498,0.00776766,0.00776766,0.00776766
65,3041.25,0.93417,1.15259,1.3272,0.70564,0.59707,0.66812,0.45778,1.21521,1.84846,1.56339,0.00770234,0.00770234,0.00770234
66,3085.5,0.93414,1.15748,1.32703,0.70514,0.59967,0.66814,0.45873,1.21283,1.84648,1.56073,0.00763637,0.00763637,0.00763637
67,3129.38,0.92781,1.14353,1.32341,0.69334,0.61027,0.66924,0.45968,1.21202,1.84339,1.55924,0.00756976,0.00756976,0.00756976
68,3174.49,0.92809,1.13413,1.32159,0.69947,0.60851,0.67006,0.46039,1.211,1.83993,1.55751,0.00750252,0.00750252,0.00750252
69,3219.63,0.91798,1.12193,1.31601,0.70249,0.60766,0.67045,0.46106,1.2096,1.83724,1.55589,0.00743468,0.00743468,0.00743468
70,3263.68,0.92331,1.12556,1.31513,0.70399,0.60877,0.67199,0.4626,1.20819,1.82966,1.5538,0.00736625,0.00736625,0.00736625
71,3307.47,0.91884,1.11742,1.31184,0.7077,0.60769,0.67244,0.46249,1.20744,1.82776,1.55245,0.00729725,0.00729725,0.00729725
72,3352.06,0.92309,1.1275,1.3133,0.70671,0.6081,0.67249,0.46314,1.20711,1.82684,1.55179,0.0072277,0.0072277,0.0072277
73,3397.01,0.91772,1.11445,1.30889,0.70558,0.61116,0.67332,0.46387,1.20654,1.82337,1.55128,0.00715761,0.00715761,0.00715761
74,3440.76,0.91017,1.10526,1.30472,0.71281,0.6091,0.67447,0.46467,1.2061,1.82305,1.55079,0.007087,0.007087,0.007087
75,3485.61,0.9139,1.11216,1.30592,0.71301,0.61073,0.67505,0.46559,1.20543,1.82631,1.54983,0.00701588,0.00701588,0.00701588
76,3528.72,0.91155,1.09578,1.30439,0.71229,0.6117,0.67578,0.46604,1.20511,1.82639,1.54929,0.00694428,0.00694428,0.00694428
77,3573.58,0.90718,1.09225,1.30281,0.71425,0.60991,0.67567,0.46613,1.20429,1.82867,1.54825,0.00687222,0.00687222,0.00687222
78,3618.16,0.90452,1.08329,1.29533,0.71023,0.61401,0.67615,0.46624,1.20353,1.83127,1.54736,0.0067997,0.0067997,0.0067997
79,3662.93,0.90138,1.0859,1.2971,0.71143,0.61411,0.67654,0.46652,1.20309,1.83023,1.54661,0.00672675,0.00672675,0.00672675
80,3706.23,0.9022,1.08107,1.29591,0.71467,0.61318,0.67703,0.46653,1.20298,1.83164,1.54623,0.00665339,0.00665339,0.00665339
81,3751.32,0.89845,1.0734,1.29018,0.71825,0.60852,0.67719,0.46736,1.2024,1.83359,1.54533,0.00657963,0.00657963,0.00657963
82,3796.41,0.89933,1.07855,1.29443,0.71705,0.60786,0.67777,0.46753,1.20183,1.834,1.54446,0.0065055,0.0065055,0.0065055
83,3841.28,0.895,1.0688,1.29068,0.71632,0.6096,0.67776,0.46768,1.20119,1.83561,1.54349,0.00643101,0.00643101,0.00643101
