epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.237,3.27955,4.65863,3.80346,0.5557,0.00798,0.00178,0.00045,2.89939,4.55876,3.38823,0.00332609,0.00332609,0.0700652
2,121.958,2.30201,3.76832,2.77097,0.15282,0.09511,0.02867,0.01092,2.1998,3.84443,2.72422,0.00665901,0.00665901,0.0400648
3,179.173,1.72279,3.04426,2.19313,0.15564,0.13103,0.06838,0.03168,1.97548,3.73517,2.53183,0.00999031,0.00999031,0.0100628
4,232.757,1.53136,2.66868,1.96184,0.17407,0.21184,0.13187,0.06851,1.84863,3.53758,2.293,0.0099945,0.0099945,0.0099945
5,283.916,1.40093,2.39937,1.82117,0.25687,0.24437,0.16872,0.09061,1.74803,3.11469,2.17925,0.00999023,0.00999023,0.00999023
6,333.126,1.3103,2.22304,1.73515,0.27454,0.28311,0.21305,0.1179,1.69786,3.23051,2.1035,0.00998474,0.00998474,0.00998474
7,383.79,1.26356,2.11025,1.68458,0.28783,0.29481,0.23524,0.13499,1.66395,3.15546,2.07639,0.00997803,0.00997803,0.00997803
8,433.466,1.22051,1.99929,1.64118,0.32857,0.31668,0.26328,0.15183,1.61365,3.18684,2.02833,0.00997011,0.00997011,0.00997011
9,481.424,1.18072,1.9207,1.60467,0.34488,0.344,0.29144,0.16614,1.61313,2.73872,1.99644,0.00996097,0.00996097,0.00996097
10,529.566,1.15184,1.85976,1.57751,0.37227,0.32682,0.29775,0.17299,1.57817,3.06898,1.99102,0.00995062,0.00995062,0.00995062
11,580.348,1.13582,1.80084,1.55809,0.42019,0.361,0.34449,0.20199,1.55139,3.08497,1.9404,0.00993906,0.00993906,0.00993906
12,630.611,1.1144,1.76552,1.54267,0.41254,0.36589,0.35378,0.20959,1.54682,3.0447,1.96645,0.00992629,0.00992629,0.00992629
13,677.906,1.09799,1.72121,1.52894,0.45376,0.37493,0.3805,0.22783,1.52157,2.8624,1.92646,0.00991232,0.00991232,0.00991232
14,727.247,1.0729,1.6705,1.50344,0.46676,0.39962,0.39124,0.23535,1.48005,2.94883,1.88679,0.00989715,0.00989715,0.00989715
15,773.452,1.06923,1.64846,1.49549,0.48887,0.41858,0.41385,0.25162,1.47524,2.79601,1.87196,0.00988079,0.00988079,0.00988079
16,820.906,1.05241,1.61747,1.48296,0.50693,0.40747,0.42588,0.25746,1.47237,2.77099,1.86449,0.00986323,0.00986323,0.00986323
17,867.556,1.03975,1.58788,1.46933,0.53179,0.43551,0.45105,0.28124,1.43707,2.77065,1.82857,0.00984449,0.00984449,0.00984449
18,916.573,1.03222,1.57218,1.466,0.5229,0.429,0.44787,0.28049,1.44311,2.75294,1.81653,0.00982456,0.00982456,0.00982456
19,963.638,1.02394,1.53669,1.44976,0.55329,0.4367,0.46093,0.28517,1.44151,2.71117,1.81955,0.00980345,0.00980345,0.00980345
20,1010.53,1.0173,1.52457,1.44606,0.56748,0.44524,0.4763,0.29635,1.41588,2.60526,1.80414,0.00978118,0.00978118,0.00978118
21,1061.35,1.00449,1.49874,1.43365,0.57012,0.44304,0.48359,0.30241,1.41762,2.64459,1.79548,0.00975773,0.00975773,0.00975773
22,1108.67,1.00006,1.48679,1.43288,0.59172,0.44781,0.49516,0.31171,1.39981,2.76203,1.78462,0.00973312,0.00973312,0.00973312
23,1158.46,0.99589,1.47606,1.42682,0.58026,0.48108,0.51756,0.32584,1.393,2.61062,1.76929,0.00970736,0.00970736,0.00970736
24,1205.89,0.98511,1.45617,1.4161,0.60113,0.4841,0.52498,0.33413,1.37487,2.46207,1.75083,0.00968045,0.00968045,0.00968045
25,1252.25,0.97867,1.43086,1.41052,0.5954,0.48672,0.52642,0.33874,1.35944,2.4673,1.73436,0.00965239,0.00965239,0.00965239
26,1299.46,0.98152,1.4241,1.40824,0.61302,0.48523,0.53398,0.3383,1.35997,2.61325,1.73475,0.0096232,0.0096232,0.0096232
27,1346.69,0.9723,1.41204,1.40053,0.61263,0.48776,0.54348,0.34991,1.35635,2.38371,1.7326,0.00959289,0.00959289,0.00959289
28,1395.07,0.96765,1.4044,1.39911,0.64409,0.49207,0.55151,0.35413,1.34822,2.46922,1.71783,0.00956145,0.00956145,0.00956145
29,1441.23,0.95311,1.38309,1.38651,0.62329,0.49274,0.55324,0.35508,1.34192,2.44887,1.72021,0.00952889,0.00952889,0.00952889
30,1488.45,0.95425,1.38348,1.38645,0.63185,0.50072,0.56278,0.36561,1.32404,2.42015,1.69726,0.00949524,0.00949524,0.00949524
31,1536.65,0.94767,1.35807,1.37528,0.63722,0.50445,0.57055,0.37022,1.31338,2.31884,1.69342,0.00946048,0.00946048,0.00946048
32,1585.26,0.94169,1.35008,1.37249,0.64159,0.51311,0.57228,0.37152,1.3157,2.39454,1.6918,0.00942464,0.00942464,0.00942464
33,1630.42,0.93707,1.34421,1.37179,0.65321,0.50936,0.57879,0.37858,1.30676,2.30836,1.67631,0.00938772,0.00938772,0.00938772
34,1678.31,0.93279,1.33171,1.36528,0.6582,0.51744,0.58667,0.38541,1.30393,2.31457,1.67729,0.00934973,0.00934973,0.00934973
35,1726.6,0.92686,1.32295,1.36112,0.65535,0.52215,0.58686,0.38486,1.29755,2.30856,1.6693,0.00931067,0.00931067,0.00931067
36,1773.46,0.92661,1.31348,1.35736,0.67463,0.51773,0.59134,0.38988,1.28527,2.33182,1.65518,0.00927057,0.00927057,0.00927057
37,1820.92,0.92429,1.30536,1.35434,0.66312,0.52779,0.59567,0.39347,1.28521,2.35636,1.65411,0.00922942,0.00922942,0.00922942
38,1869.52,0.92568,1.29903,1.35297,0.67372,0.53239,0.60265,0.39931,1.28295,2.33642,1.65225,0.00918725,0.00918725,0.00918725
39,1915.97,0.91145,1.29041,1.34238,0.66923,0.52935,0.60194,0.39876,1.27952,2.31161,1.6472,0.00914405,0.00914405,0.00914405
40,1964.04,0.91126,1.28434,1.34408,0.6703,0.54217,0.61073,0.40583,1.26995,2.27599,1.63853,0.00909984,0.00909984,0.00909984
41,2011.22,0.91137,1.27369,1.34008,0.67026,0.54315,0.61305,0.4083,1.26537,2.28456,1.63562,0.00905463,0.00905463,0.00905463
42,2058.33,0.90346,1.26029,1.33293,0.69107,0.53865,0.6152,0.41032,1.26465,2.26792,1.63108,0.00900844,0.00900844,0.00900844
43,2106.94,0.905,1.25177,1.33258,0.69434,0.54572,0.6196,0.41262,1.2621,2.23998,1.62802,0.00896127,0.00896127,0.00896127
44,2154.05,0.89605,1.24087,1.3269,0.69413,0.54323,0.62584,0.41792,1.25793,2.20532,1.62182,0.00891313,0.00891313,0.00891313
45,2201.41,0.89855,1.24507,1.32926,0.70537,0.54111,0.62546,0.4177,1.25982,2.22954,1.62161,0.00886404,0.00886404,0.00886404
46,2248.55,0.89537,1.24177,1.3251,0.68814,0.55355,0.62957,0.42265,1.24908,2.20393,1.61113,0.00881401,0.00881401,0.00881401
47,2296.61,0.89233,1.22677,1.32104,0.7016,0.54624,0.63188,0.42576,1.24374,2.21126,1.60651,0.00876305,0.00876305,0.00876305
48,2343.52,0.89054,1.22105,1.3181,0.69674,0.56085,0.63469,0.42893,1.24166,2.20379,1.60534,0.00871117,0.00871117,0.00871117
