epoch,align_clean_topk,align_adv_topk,L_entangle_bg,L_anchor,L_collapse_aux,alsi_score,cos_t_conf,cos_t_clean,M_conf_sum,rlcp_conf_mass,rlcp_trim_keep_ratio,rlcp_core_exclusion_ratio,rlcp_adaptive_inner_mean,rlcp_adaptive_outer_mean,rlcp_adaptive_inner_min,rlcp_adaptive_outer_max,confounder_purity_ratio,overlap_ratio,preserve_loss,L_margin,margin_clean_mean,margin_adv_mean,gate_positive_ratio,pag_positive_ratio,pag_threshold,pag_mean_target_score,pag_fallback_count,perturbed_area_ratio_mean,L_tv,L_budget,L_total,L_tsvc,L_sem,sld_score,mean_abs_delta,max_abs_delta,saturation_ratio,support_prebaked_ratio,support_fallback_ratio,support_forced_pseudo_fallback_ratio,support_empty_ratio,L_cooccur_nt_logits,cooccur_nt_lambda_cur,cooccur_nt_fg_count,cooccur_nt_img_ratio,cooccur_nt_clean_prob_mean,cooccur_nt_adv_prob_mean,cooccur_nt_prob_drop,cooccur_nt_prob_drop_raw_mean,cooccur_nt_prob_drop_pos_mean,cooccur_nt_prob_drop_hinge_mean,cooccur_nt_hard_loss_mean,cooccur_nt_hard_count,late_repair_ratio,ent_scale_cur,anchor_scale_cur,flat_scale_cur,preserve_logits_scale_cur,preserve_feat_scale_cur,margin_scale_cur,cooccur_lambda_scale_cur,effective_lambda_ent,effective_lambda_anchor,effective_lambda_flat,effective_cooccur_lambda,cooccur_nt_loss_type,grad_norm_fourier,grad_norm_suppress,adaptive_freq_select_metric,freq_attack_grad_mean,freq_collateral_grad_mean,freq_ratio_mean,freq_attack_grad_top_mean,freq_collateral_grad_top_mean,freq_ratio_top_mean,freq_band_low_attack_top_mean,freq_band_mid_attack_top_mean,freq_band_high_attack_top_mean,freq_band_low_collateral_top_mean,freq_band_mid_collateral_top_mean,freq_band_high_collateral_top_mean,freq_band_low_ratio_top_mean,freq_band_mid_ratio_top_mean,freq_band_high_ratio_top_mean,enable_cooccur_nt_logits_preserve,cooccur_nt_logits_lambda,cooccur_nt_min_clean_conf,cooccur_nt_drop_tolerance,cooccur_nt_hard_top_ratio,cooccur_nt_min_hard_count,cooccur_nt_use_positive_drop_only,cooccur_nt_warmup_start_epoch,cooccur_nt_warmup_end_epoch,cooccur_nt_apply_after_freq_selection,cooccur_nt_do_not_use_for_freq_score,enable_late_nt_repair,late_repair_start_epoch,late_repair_ramp_epochs,late_attack_loss_scale_enabled,late_lambda_ent_scale,late_lambda_anchor_scale,late_lambda_flat_scale,late_preserve_logits_scale,late_preserve_feat_scale,late_margin_scale,late_cooccur_lambda_scale,late_only_after_freq_selection,freq_mode,freq_active_num_bases,freq_candidate_num_bases,freq_score_top_mean,enable_band_aware_freq_basis,freq_band_low_candidate_num,freq_band_mid_candidate_num,freq_band_high_candidate_num,freq_band_low_active_num,freq_band_mid_active_num,freq_band_high_active_num,freq_band_low_score_mean,freq_band_mid_score_mean,freq_band_high_score_mean,freq_band_low_score_top_mean,freq_band_mid_score_top_mean,freq_band_high_score_top_mean,freq_band_low_radius_mean,freq_band_mid_radius_mean,freq_band_high_radius_mean,freq_selected_low_indices,freq_selected_mid_indices,freq_selected_high_indices,freq_selected_low_coords,freq_selected_mid_coords,freq_selected_high_coords
1,0.022551841775433245,0.019110956724186997,3.4608777418186527,0.7512581997200987,0.17823332953827545,1330555.788212235,0.5715331678745216,0.9013385487684621,5574.39871018761,520031.9109947644,0.8225707918873638,0.12425625119651793,13.620079051518953,32.14959469470593,8.0,36.0,0.8757232934446735,0.9439551613192817,0.012271715445122169,0.014349775103893599,0.4116866706397521,0.36334890720107793,0.011904762126505375,0.5356672960835958,0.778169487865252,0.7551446330872241,9.408376963350785,0.1569443861929534,0.014294485969917546,0.575117269891719,61.30141944286087,0.17823332953827545,0.7512581997200987,1330555.788212235,0.0069830436430169335,0.0627450942993164,0.08918230589454827,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7188481679137465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,16.5,5.0,2.3999999999999924,0.0,prob_drop_hinge,6.49679708480835,-1.0,attack_collateral_ratio,0.7192537784576416,5.065575351181906e-06,166984.546875,0.7303954362869263,5.1982315198984e-06,193777.5,1.0394175052642822,0.728809118270874,0.9485764503479004,7.929428647912573e-06,5.493177923199255e-06,6.500674317067023e-06,328207.4375,176523.140625,238715.8125,False,1.0,0.15,0.005,0.5,16,True,5,20,True,True,True,20,5,True,0.5,0.8,0.8,2.2,1.0,1.0,1.0,True,explore,16,64,193777.5,True,16,32,16,1,13,2,188423.46875,158785.21875,161944.3125,328207.4375,176523.140625,238715.8125,5.5528267713635415,16.407041394653806,38.8692674917306,[0],"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]","[48, 49]","[[633, 0]]","[[630, 638], [13, 625], [626, 630], [635, 19], [630, 7], [8, 625], [16, 636], [6, 12], [636, 628], [4, 623], [634, 10], [18, 4], [623, 10]]","[[633, 608], [0, 33]]"
2,0.022565281337995024,0.0188599738282644,3.2475714833324494,0.8771928459873999,0.17366878372368388,1237992.7105692003,0.5799229809751062,0.8854483836192318,5574.39871535376,520031.9109947644,0.8226702610651655,0.12406295971923473,13.629506554095391,32.16103607770777,8.0,36.0,0.8759246063440083,0.9441702067394677,0.013617104477692805,0.016150896131494983,0.4111414392581161,0.35764728026240283,0.011904762126505375,0.5354398801163566,0.7779846905911093,0.7546731495398845,9.340314136125654,0.15893285569408178,0.016725144222261706,0.6042279871034373,58.40199769104962,0.17366878372368388,0.8771928459873999,1237992.7105692003,0.0073607626946457705,0.0627450942993164,0.09859810785161263,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7179210298348472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,16.5,5.0,2.3999999999999924,0.0,prob_drop_hinge,7.142571926116943,-1.0,attack_collateral_ratio,0.6814579963684082,5.0408552851877175e-06,150476.21875,0.7038413286209106,5.236662218521815e-06,164920.90625,0.981627881526947,0.695268452167511,0.8496623635292053,6.855947958683828e-06,5.555033567361534e-06,6.663876774837263e-06,246363.453125,154579.53125,191418.46875,False,1.0,0.15,0.005,0.5,16,True,5,20,True,True,True,20,5,True,0.5,0.8,0.8,2.2,1.0,1.0,1.0,True,explore,16,64,164920.90625,True,16,32,16,1,13,2,177191.84375,138610.5625,147491.90625,246363.453125,154579.53125,191418.46875,5.5528267713635415,16.407041394653806,38.8692674917306,[0],"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]","[48, 49]","[[633, 0]]","[[630, 638], [13, 625], [626, 630], [635, 19], [630, 7], [8, 625], [16, 636], [6, 12], [636, 628], [4, 623], [634, 10], [18, 4], [623, 10]]","[[633, 608], [0, 33]]"
3,0.022567979967055833,0.018775575662626647,3.2139362352680787,0.9060078787553997,0.17233440529613595,1243305.4621307855,0.5812729036802813,0.8826517967237437,5574.398724035026,520031.9109947644,0.8227222958680434,0.12482468891165525,13.622835453431826,32.14733281787195,8.0,36.0,0.875161904828865,0.9436864535857056,0.013831281798028665,0.016401320201569085,0.41310788862680264,0.3590675026022327,0.011904762126505375,0.5359564227372678,0.7782631262758659,0.7552547224180884,9.421465968586388,0.15884632870788973,0.017628168618959907,0.6242236961556978,57.98811390262624,0.17233440529613595,0.9060078787553997,1243305.4621307855,0.007445232228361343,0.0627450942993164,0.10131237722192135,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7186627400483137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,16.5,5.0,2.3999999999999924,0.0,prob_drop_hinge,2.8714277744293213,-1.0,attack_collateral_ratio,0.6650656461715698,4.945106411469169e-06,147219.4375,0.7069298624992371,5.349022103473544e-06,157903.515625,0.9362320303916931,0.6889964938163757,0.8366005420684814,6.571321137016639e-06,5.5499153859273065e-06,6.490311534435023e-06,228693.0625,149476.203125,177286.28125,False,1.0,0.15,0.005,0.5,16,True,5,20,True,True,True,20,5,True,0.5,0.8,0.8,2.2,1.0,1.0,1.0,True,explore,16,64,157903.515625,True,16,32,16,1,13,2,175373.75,133123.78125,147256.484375,228693.0625,149476.203125,177286.28125,5.5528267713635415,16.407041394653806,38.8692674917306,[0],"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]","[48, 49]","[[633, 0]]","[[630, 638], [13, 625], [626, 630], [635, 19], [630, 7], [8, 625], [16, 636], [6, 12], [636, 628], [4, 623], [634, 10], [18, 4], [623, 10]]","[[633, 608], [0, 33]]"
4,0.02256225580252044,0.018675995315303198,3.1944395035349262,0.9096321816219709,0.1699219184162105,1357721.1455570671,0.5817246566060119,0.8811579915397456,5574.398695488041,520031.9109947644,0.822626745409574,0.12424803202890079,13.62249478441791,32.14945046515262,8.0,36.0,0.8757410740157214,0.9449754100044768,0.01421418707544735,0.016981919583771866,0.4125425946650081,0.3569846960730578,0.011904762126505375,0.5358841383799233,0.7778459010772891,0.7549492399871663,9.421465968586388,0.15892877183971604,0.01845166498687879,0.6324294718148197,57.6791517647149,0.1699219184162105,0.9096321816219709,1357721.1455570671,0.0075140287295100885,0.0627450942993164,0.10340835313990478,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7186627400483137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,16.5,5.0,2.3999999999999924,0.0,prob_drop_hinge,7.3978424072265625,-1.0,attack_collateral_ratio,0.6564308404922485,4.9577811296330765e-06,143265.0625,0.6904391050338745,5.373795829655137e-06,153870.5625,0.9129123687744141,0.6831645965576172,0.8235644102096558,6.310197932180017e-06,5.5480486480519176e-06,6.454326467064675e-06,215523.375,146119.28125,173427.65625,False,1.0,0.15,0.005,0.5,16,True,5,20,True,True,True,20,5,True,0.5,0.8,0.8,2.2,1.0,1.0,1.0,True,explore,16,64,153870.5625,True,16,32,16,1,13,2,169328.59375,129064.1328125,145603.328125,215523.375,146119.28125,173427.65625,5.5528267713635415,16.407041394653806,38.8692674917306,[0],"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]","[48, 49]","[[633, 0]]","[[630, 638], [13, 625], [626, 630], [635, 19], [630, 7], [8, 625], [16, 636], [6, 12], [636, 628], [4, 623], [634, 10], [18, 4], [623, 10]]","[[633, 608], [0, 33]]"
5,0.022610656490442173,0.018712128093222362,3.1759449337165395,0.9421546546576535,0.17184021866134325,1288859.608386493,0.5822412456803503,0.8792954797728104,5574.398688830632,520031.9109947644,0.8226450210986544,0.12410727296470157,13.621514836255233,32.14830830861329,8.006799948920929,36.0,0.8758729387275274,0.9444546111320165,0.014391872985532303,0.017199864550079196,0.4132620059538886,0.3566066421451369,0.011904762126505375,0.5358357505894425,0.7771751349649473,0.754293921817994,9.353403141361257,0.15921412236715488,0.019507466201031706,0.648314645777198,57.541394398474566,0.17184021866134325,0.9421546546576535,1288859.608386493,0.007601227472336348,0.0627450942993164,0.10596854969156974,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7182918849415804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,16.5,5.0,2.3999999999999924,0.0,prob_drop_hinge,5.30172872543335,-1.0,attack_collateral_ratio,0.6550244092941284,4.941335646435618e-06,142503.609375,0.7016395330429077,5.293889898894122e-06,153803.609375,0.8968778252601624,0.6891136169433594,0.8291553258895874,6.222675892786356e-06,5.585048711509444e-06,6.726601441187086e-06,213968.5,146105.96875,173755.921875,False,1.0,0.15,0.005,0.5,16,True,5,20,True,True,True,20,5,True,0.5,0.8,0.8,2.2,1.0,1.0,1.0,True,explore,16,64,153803.625,True,16,32,16,1,13,2,169080.171875,127555.90625,145822.421875,213968.5,146105.96875,173755.921875,5.5528267713635415,16.407041394653806,38.8692674917306,[1],"[16, 17, 18, 19, 24, 25, 26, 29, 37, 40, 41, 44, 46]","[50, 62]","[[634, 2]]","[[630, 638], [13, 625], [626, 630], [635, 19], [636, 628], [4, 623], [634, 10], [628, 5], [627, 630], [626, 6], [14, 5], [0, 629], [636, 14]]","[[631, 598], [610, 607]]"
6,0.022614463924854524,0.019342993898073417,3.220963484329703,0.8872445764810003,0.1715196270047058,1337898.1397640521,0.5787475503734061,0.880731981410198,5574.398719774283,520031.9109947644,0.8225548317815206,0.1246119656979811,13.617471206218754,32.14138245345639,8.0,36.0,0.8753419328818522,0.9440011064859615,0.013978872414073707,0.015972170635024135,0.4114659228093961,0.3582147878268002,0.011904762126505375,0.5359234131306215,0.7785886441859776,0.7550231129828682,9.44502617801047,0.15948989129191293,0.02394448038853744,0.681979641864437,58.008448196331244,0.1715196270047058,0.8872445764810003,1337898.1397640521,0.007928023241577348,0.0627450942993164,0.11631597274260995,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7182918849415804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,16.5,5.0,2.3999999999999924,0.0,prob_drop_hinge,5.352953910827637,-1.0,attack_collateral_ratio,0.6550244092941284,4.941335646435618e-06,142503.609375,0.7016395330429077,5.293889898894122e-06,153803.609375,0.8968778252601624,0.6891136169433594,0.8291553258895874,6.222675892786356e-06,5.585048711509444e-06,6.726601441187086e-06,213968.5,146105.96875,173755.921875,False,1.0,0.15,0.005,0.5,16,True,5,20,True,True,True,20,5,True,0.5,0.8,0.8,2.2,1.0,1.0,1.0,True,fixed_topk,16,64,153803.609375,True,16,32,16,1,13,2,169080.171875,127555.90625,145822.421875,213968.5,146105.96875,173755.921875,5.5528267713635415,16.407041394653806,38.8692674917306,[1],"[16, 17, 18, 19, 24, 25, 26, 29, 37, 40, 41, 44, 46]","[50, 62]","[[634, 2]]","[[630, 638], [13, 625], [626, 630], [635, 19], [636, 628], [4, 623], [634, 10], [628, 5], [627, 630], [626, 6], [14, 5], [0, 629], [636, 14]]","[[631, 598], [610, 607]]"
7,0.0225876142973012,0.019177650164871315,3.16967949567665,0.9249993130486673,0.17022555508694723,1338238.1976728938,0.5803249127655759,0.8767497530678391,5574.398701772642,520031.9109947644,0.8226403810903038,0.1246173880622791,13.616870374630828,32.141028123284705,8.0,36.0,0.8753460162474691,0.9449018344972012,0.014361501227654712,0.016492096646274417,0.4118173418868899,0.35716973658631607,0.011904762126505375,0.5359575635560883,0.7781668755683296,0.7547659916373182,9.329842931937172,0.15945518266468148,0.024656315378025564,0.6748134010125205,57.34833185086075,0.17022555508694723,0.9249993130486673,1338238.1976728938,0.008008448092549728,0.0627450942993164,0.11886212401365111,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7186627400483137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,16.5,5.0,2.3999999999999924,0.0,prob_drop_hinge,4.992831707000732,-1.0,attack_collateral_ratio,0.6550244092941284,4.941335646435618e-06,142503.609375,0.7016395330429077,5.293889898894122e-06,153803.609375,0.8968778252601624,0.6891136169433594,0.8291553258895874,6.222675892786356e-06,5.585048711509444e-06,6.726601441187086e-06,213968.5,146105.96875,173755.921875,False,1.0,0.15,0.005,0.5,16,True,5,20,True,True,True,20,5,True,0.5,0.8,0.8,2.2,1.0,1.0,1.0,True,fixed_topk,16,64,153803.609375,True,16,32,16,1,13,2,169080.171875,127555.90625,145822.421875,213968.5,146105.96875,173755.921875,5.5528267713635415,16.407041394653806,38.8692674917306,[1],"[16, 17, 18, 19, 24, 25, 26, 29, 37, 40, 41, 44, 46]","[50, 62]","[[634, 2]]","[[630, 638], [13, 625], [626, 630], [635, 19], [636, 628], [4, 623], [634, 10], [628, 5], [627, 630], [626, 6], [14, 5], [0, 629], [636, 14]]","[[631, 598], [610, 607]]"
8,0.02255195225418316,0.01912138472355083,3.154896718669312,0.9323684992902566,0.17051122435100416,1411145.9213361843,0.5807586416446101,0.8753507799399046,5574.398712744051,520031.9109947644,0.8226427372421474,0.12468038979579973,13.612808080499649,32.13270334917797,8.00206618401979,36.0,0.8752662048927727,0.9444255160773983,0.014446912011550983,0.016586066267565282,0.41125874974184634,0.35622211257044556,0.011904762126505375,0.535955912017267,0.7777399109252294,0.7547371907314148,9.36910994764398,0.1594457953232121,0.026035116156514403,0.7028179109408593,57.14203773618369,0.17051122435100416,0.9323684992902566,1411145.9213361843,0.008044676391983219,0.0627450942993164,0.12014939795925979,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7190335954671131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,16.5,5.0,2.3999999999999924,0.0,prob_drop_hinge,6.020660400390625,-1.0,attack_collateral_ratio,0.6550244092941284,4.941335646435618e-06,142503.609375,0.7016395330429077,5.293889898894122e-06,153803.609375,0.8968778252601624,0.6891136169433594,0.8291553258895874,6.222675892786356e-06,5.585048711509444e-06,6.726601441187086e-06,213968.5,146105.96875,173755.921875,False,1.0,0.15,0.005,0.5,16,True,5,20,True,True,True,20,5,True,0.5,0.8,0.8,2.2,1.0,1.0,1.0,True,fixed_topk,16,64,153803.609375,True,16,32,16,1,13,2,169080.171875,127555.90625,145822.421875,213968.5,146105.96875,173755.921875,5.5528267713635415,16.407041394653806,38.8692674917306,[1],"[16, 17, 18, 19, 24, 25, 26, 29, 37, 40, 41, 44, 46]","[50, 62]","[[634, 2]]","[[630, 638], [13, 625], [626, 630], [635, 19], [636, 628], [4, 623], [634, 10], [628, 5], [627, 630], [626, 6], [14, 5], [0, 629], [636, 14]]","[[631, 598], [610, 607]]"
9,0.022536297148356886,0.019110137584536332,3.147150894734248,0.9410674027435443,0.17050942076438386,1341351.277684284,0.581184254045782,0.8748256558939217,5574.398704968196,520031.9109947644,0.8226357437345162,0.12448957517336183,13.611695259900577,32.13113702677244,8.0,36.0,0.8754712953660403,0.9433675471133636,0.014558240573814246,0.01674978216288426,0.4107460164274845,0.35512734567307674,0.011904762126505375,0.5364663289180253,0.7774058370211732,0.7549673853028004,9.379581151832461,0.15956146652317796,0.026460764012957744,0.6997857190551559,57.05783899916404,0.17050942076438386,0.9410674027435443,1341351.277684284,0.008069264010102025,0.0627450942993164,0.12087845622869062,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7190335954671131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,16.5,5.0,2.3999999999999924,0.0,prob_drop_hinge,3.5682785511016846,-1.0,attack_collateral_ratio,0.6550244092941284,4.941335646435618e-06,142503.609375,0.7016395330429077,5.293889898894122e-06,153803.609375,0.8968778252601624,0.6891136169433594,0.8291553258895874,6.222675892786356e-06,5.585048711509444e-06,6.726601441187086e-06,213968.5,146105.96875,173755.921875,False,1.0,0.15,0.005,0.5,16,True,5,20,True,True,True,20,5,True,0.5,0.8,0.8,2.2,1.0,1.0,1.0,True,fixed_topk,16,64,153803.609375,True,16,32,16,1,13,2,169080.171875,127555.90625,145822.421875,213968.5,146105.96875,173755.921875,5.5528267713635415,16.407041394653806,38.8692674917306,[1],"[16, 17, 18, 19, 24, 25, 26, 29, 37, 40, 41, 44, 46]","[50, 62]","[[634, 2]]","[[630, 638], [13, 625], [626, 630], [635, 19], [636, 628], [4, 623], [634, 10], [628, 5], [627, 630], [626, 6], [14, 5], [0, 629], [636, 14]]","[[631, 598], [610, 607]]"
10,0.022596820745207566,0.019171532543366336,3.1324191567785453,0.9513883072668345,0.16998438700955576,1322042.0929092248,0.581953458852065,0.8740629954279825,5574.398705500788,520031.9109947644,0.8226631903211482,0.12463391449362017,13.618255213859202,32.1455375956972,8.0,36.0,0.8753453164784961,0.944265030371022,0.014694812288264017,0.016953389096946617,0.4112883176635073,0.3551935853524358,0.011904762126505375,0.53587025853661,0.7776135473196064,0.7547545891341215,9.366492146596858,0.15970017796099498,0.027068756120913317,0.7060315025414472,56.865253148902774,0.16998438700955576,0.9513883072668345,1322042.0929092248,0.008092130522160786,0.0627450942993164,0.12157076378767404,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.7190335954671131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,1.0052356020942408,16.5,5.0,2.3999999999999924,0.0,prob_drop_hinge,8.599456787109375,-1.0,attack_collateral_ratio,0.6550244092941284,4.941335646435618e-06,142503.609375,0.7016395330429077,5.293889898894122e-06,153803.609375,0.8968778252601624,0.6891136169433594,0.8291553258895874,6.222675892786356e-06,5.585048711509444e-06,6.726601441187086e-06,213968.5,146105.96875,173755.921875,False,1.0,0.15,0.005,0.5,16,True,5,20,True,True,True,20,5,True,0.5,0.8,0.8,2.2,1.0,1.0,1.0,True,fixed_topk,16,64,153803.609375,True,16,32,16,1,13,2,169080.171875,127555.90625,145822.421875,213968.5,146105.96875,173755.921875,5.5528267713635415,16.407041394653806,38.8692674917306,[1],"[16, 17, 18, 19, 24, 25, 26, 29, 37, 40, 41, 44, 46]","[50, 62]","[[634, 2]]","[[630, 638], [13, 625], [626, 630], [635, 19], [636, 628], [4, 623], [634, 10], [628, 5], [627, 630], [626, 6], [14, 5], [0, 629], [636, 14]]","[[631, 598], [610, 607]]"
