epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.7609,3.24786,4.5323,3.77731,0.60189,0.00654,0.00095,0.00026,3.00475,4.58283,3.41973,0.00332609,0.00332609,0.0700652
2,124.26,2.1428,3.33048,2.62941,0.21577,0.09007,0.03524,0.01478,2.12986,4.16685,2.62268,0.00665901,0.00665901,0.0400648
3,174.434,1.58543,2.6634,2.05795,0.18635,0.13967,0.08148,0.03983,1.94556,3.91389,2.44122,0.00999031,0.00999031,0.0100628
4,223.995,1.40897,2.33655,1.85203,0.17341,0.20617,0.12689,0.06536,1.83443,3.72056,2.29305,0.0099945,0.0099945,0.0099945
5,281.032,1.30399,2.13399,1.7445,0.20329,0.17841,0.12716,0.06894,1.79382,3.82905,2.23562,0.00999023,0.00999023,0.00999023
6,335.262,1.23405,1.99676,1.67442,0.24901,0.28356,0.21226,0.11753,1.72674,3.70549,2.16182,0.00998474,0.00998474,0.00998474
7,395.807,1.19096,1.89254,1.62519,0.30438,0.29019,0.23193,0.12834,1.7393,3.52664,2.1547,0.00997803,0.00997803,0.00997803
8,450.422,1.15714,1.8073,1.59159,0.33822,0.3016,0.26854,0.15517,1.64125,3.50185,2.07147,0.00997011,0.00997011,0.00997011
9,500.61,1.12135,1.7355,1.55909,0.32762,0.31928,0.28311,0.16288,1.62217,3.62779,2.027,0.00996097,0.00996097,0.00996097
10,548.561,1.10236,1.68603,1.53617,0.38401,0.32766,0.30862,0.18035,1.60416,3.33725,1.99191,0.00995062,0.00995062,0.00995062
11,595.301,1.08253,1.639,1.51502,0.44392,0.36174,0.36117,0.20993,1.58545,3.2152,1.96754,0.00993906,0.00993906,0.00993906
12,641.592,1.06755,1.60625,1.50065,0.42189,0.37339,0.3624,0.21748,1.55446,3.47195,1.93952,0.00992629,0.00992629,0.00992629
13,687.857,1.04992,1.56687,1.48659,0.42821,0.38472,0.37536,0.22716,1.5603,3.20278,1.94604,0.00991232,0.00991232,0.00991232
14,733.444,1.02601,1.52315,1.46464,0.46191,0.39538,0.39501,0.23954,1.5233,3.21343,1.91783,0.00989715,0.00989715,0.00989715
15,779.869,1.02173,1.50624,1.45772,0.48634,0.40248,0.4158,0.25269,1.49081,3.14624,1.8941,0.00988079,0.00988079,0.00988079
16,825.985,1.00493,1.47332,1.44296,0.47889,0.43207,0.43533,0.26683,1.50608,3.06707,1.89109,0.00986323,0.00986323,0.00986323
17,871.655,0.99617,1.45513,1.43718,0.52171,0.44086,0.45377,0.28223,1.47319,3.05139,1.84884,0.00984449,0.00984449,0.00984449
18,917.588,0.98953,1.43352,1.43329,0.49819,0.42407,0.44324,0.27541,1.48671,3.21497,1.87164,0.00982456,0.00982456,0.00982456
19,963.451,0.98338,1.41649,1.41948,0.52895,0.44659,0.46295,0.28355,1.48852,3.09745,1.86917,0.00980345,0.00980345,0.00980345
20,1009.72,0.97795,1.40378,1.41638,0.543,0.42997,0.46809,0.28924,1.45441,3.04299,1.84359,0.00978118,0.00978118,0.00978118
21,1058.25,0.96587,1.37136,1.40179,0.55054,0.45421,0.4901,0.3088,1.44008,3.04477,1.81819,0.00975773,0.00975773,0.00975773
22,1104.74,0.95992,1.3616,1.39963,0.54612,0.47268,0.49783,0.31553,1.41865,2.92814,1.79571,0.00973312,0.00973312,0.00973312
23,1150.96,0.96174,1.3582,1.40033,0.55656,0.48931,0.51283,0.32405,1.42128,2.92325,1.80782,0.00970736,0.00970736,0.00970736
24,1197.03,0.94767,1.34485,1.38983,0.57235,0.48799,0.52348,0.33473,1.42434,2.87342,1.81468,0.00968045,0.00968045,0.00968045
25,1243.3,0.93822,1.31185,1.37915,0.59085,0.47704,0.53143,0.34408,1.40948,2.85671,1.79102,0.00965239,0.00965239,0.00965239
26,1288.29,0.94371,1.31134,1.37801,0.57897,0.48778,0.53174,0.34103,1.41485,2.82261,1.78556,0.0096232,0.0096232,0.0096232
27,1334.59,0.93353,1.29752,1.37069,0.56796,0.49865,0.53731,0.34404,1.39695,2.77019,1.77808,0.00959289,0.00959289,0.00959289
28,1379.78,0.9333,1.29311,1.37208,0.60361,0.50149,0.55414,0.35947,1.3856,2.76974,1.75914,0.00956145,0.00956145,0.00956145
29,1425.65,0.9195,1.27307,1.3608,0.59046,0.51026,0.55185,0.3575,1.37717,2.7657,1.76192,0.00952889,0.00952889,0.00952889
30,1471.84,0.91948,1.27232,1.36034,0.59361,0.52372,0.56559,0.36858,1.37093,2.69461,1.75041,0.00949524,0.00949524,0.00949524
31,1519.72,0.91603,1.25375,1.3553,0.59179,0.52341,0.56818,0.37029,1.37087,2.70573,1.74804,0.00946048,0.00946048,0.00946048
32,1565.5,0.90817,1.23975,1.34941,0.611,0.52418,0.57441,0.37454,1.35312,2.67945,1.72991,0.00942464,0.00942464,0.00942464
33,1611.32,0.90476,1.23685,1.34726,0.61265,0.51559,0.57204,0.37592,1.35073,2.68916,1.7227,0.00938772,0.00938772,0.00938772
34,1657.01,0.89888,1.22881,1.33995,0.63012,0.50956,0.57847,0.38181,1.34487,2.66928,1.72658,0.00934973,0.00934973,0.00934973
35,1703.45,0.89658,1.22455,1.34202,0.61441,0.52871,0.57536,0.38083,1.34131,2.67958,1.71497,0.00931067,0.00931067,0.00931067
36,1751.16,0.89654,1.20855,1.33654,0.61501,0.52826,0.58364,0.38674,1.33588,2.6735,1.70266,0.00927057,0.00927057,0.00927057
37,1798.25,0.8921,1.20097,1.33246,0.62033,0.52786,0.58548,0.38912,1.33942,2.67165,1.71141,0.00922942,0.00922942,0.00922942
38,1846.46,0.89451,1.19919,1.33156,0.6392,0.52312,0.59267,0.39484,1.32666,2.66069,1.69705,0.00918725,0.00918725,0.00918725
39,1896.08,0.88067,1.18652,1.31995,0.63872,0.52582,0.59556,0.39675,1.32279,2.63201,1.6956,0.00914405,0.00914405,0.00914405
40,1943.69,0.88231,1.18264,1.32194,0.64066,0.53281,0.59999,0.40066,1.31963,2.6401,1.68994,0.00909984,0.00909984,0.00909984
41,1991.51,0.88021,1.17558,1.31757,0.65333,0.52391,0.60156,0.40284,1.31289,2.64666,1.68136,0.00905463,0.00905463,0.00905463
42,2037.48,0.87538,1.16804,1.31125,0.64441,0.54237,0.60838,0.40678,1.30485,2.63076,1.6736,0.00900844,0.00900844,0.00900844
43,2083.35,0.87463,1.15884,1.30932,0.66387,0.53432,0.61503,0.41046,1.2979,2.60763,1.66322,0.00896127,0.00896127,0.00896127
44,2129.07,0.8669,1.14875,1.30438,0.6553,0.53918,0.61529,0.41279,1.29865,2.61022,1.66282,0.00891313,0.00891313,0.00891313
45,2175.63,0.87207,1.1542,1.30903,0.64732,0.54484,0.61553,0.41299,1.29988,2.60534,1.66487,0.00886404,0.00886404,0.00886404
46,2220.85,0.86688,1.14522,1.30425,0.67204,0.54157,0.62006,0.41717,1.29629,2.57685,1.66307,0.00881401,0.00881401,0.00881401
47,2266.65,0.86001,1.1283,1.29699,0.66379,0.54171,0.62407,0.42035,1.2916,2.56623,1.65892,0.00876305,0.00876305,0.00876305
48,2311.99,0.86256,1.12669,1.29613,0.67381,0.5436,0.62358,0.42105,1.28838,2.5618,1.65235,0.00871117,0.00871117,0.00871117
49,2357.36,0.86076,1.12874,1.29618,0.66263,0.54709,0.62658,0.42351,1.28659,2.55942,1.65185,0.00865839,0.00865839,0.00865839
50,2403.25,0.85499,1.10869,1.29088,0.6482,0.56164,0.62846,0.42337,1.28357,2.57207,1.64973,0.00860473,0.00860473,0.00860473
51,2450.91,0.85151,1.10644,1.29009,0.65741,0.55617,0.63018,0.42502,1.28273,2.57308,1.65041,0.00855018,0.00855018,0.00855018
52,2498.99,0.84826,1.10439,1.28425,0.6681,0.54837,0.63004,0.42654,1.27944,2.56546,1.64795,0.00849477,0.00849477,0.00849477
53,2544.78,0.84895,1.09523,1.28327,0.67176,0.55417,0.63313,0.42769,1.27774,2.55351,1.64275,0.00843851,0.00843851,0.00843851
54,2590.42,0.8521,1.09724,1.28516,0.67086,0.55675,0.63579,0.43043,1.27705,2.5462,1.6409,0.00838141,0.00838141,0.00838141
55,2636.1,0.84757,1.09524,1.28236,0.656,0.56664,0.63675,0.43199,1.27622,2.54105,1.63944,0.00832349,0.00832349,0.00832349
56,2681.77,0.84172,1.09,1.28001,0.65326,0.57174,0.63731,0.43294,1.27677,2.53131,1.63812,0.00826477,0.00826477,0.00826477
57,2727.04,0.84426,1.08969,1.28205,0.65857,0.5699,0.63882,0.43551,1.27319,2.5256,1.63424,0.00820525,0.00820525,0.00820525
58,2772.31,0.83766,1.06551,1.27437,0.66406,0.56989,0.64095,0.43661,1.27135,2.5172,1.63354,0.00814495,0.00814495,0.00814495
59,2817.56,0.83587,1.06396,1.27106,0.65905,0.57461,0.64219,0.43731,1.27055,2.51454,1.63194,0.00808389,0.00808389,0.00808389
60,2863.61,0.83192,1.06237,1.26678,0.65788,0.57979,0.64336,0.43904,1.26775,2.5115,1.62929,0.00802208,0.00802208,0.00802208
61,2911.1,0.8339,1.06151,1.27197,0.65281,0.58205,0.64425,0.44008,1.26578,2.51015,1.62733,0.00795954,0.00795954,0.00795954
62,2956.37,0.82433,1.04701,1.26683,0.65633,0.57873,0.64497,0.44101,1.26545,2.50816,1.62733,0.00789628,0.00789628,0.00789628
63,3003.71,0.83103,1.05314,1.26616,0.65959,0.57819,0.64636,0.44179,1.26392,2.50638,1.62552,0.00783231,0.00783231,0.00783231
64,3053.7,0.82817,1.04937,1.26547,0.66564,0.57699,0.64729,0.44267,1.26236,2.5111,1.62334,0.00776766,0.00776766,0.00776766
65,3101.3,0.82904,1.04815,1.26354,0.66703,0.57634,0.64826,0.44396,1.26124,2.51118,1.62284,0.00770234,0.00770234,0.00770234
66,3147.86,0.82676,1.0442,1.26328,0.66617,0.57947,0.64941,0.44523,1.2602,2.51135,1.62157,0.00763637,0.00763637,0.00763637
67,3194.88,0.8236,1.03124,1.26067,0.66615,0.5793,0.65066,0.4466,1.25977,2.51006,1.62095,0.00756976,0.00756976,0.00756976
68,3241.48,0.82468,1.02523,1.25853,0.66637,0.5813,0.65203,0.44714,1.25882,2.50621,1.61912,0.00750252,0.00750252,0.00750252
69,3288.8,0.81568,1.02126,1.2534,0.66687,0.58272,0.65359,0.44848,1.25718,2.50012,1.61661,0.00743468,0.00743468,0.00743468
70,3334.19,0.82051,1.02409,1.25486,0.66871,0.58361,0.65442,0.44928,1.25529,2.49547,1.6146,0.00736625,0.00736625,0.00736625
71,3379.72,0.81373,1.01668,1.25121,0.67253,0.5827,0.65568,0.44982,1.25458,2.491,1.61422,0.00729725,0.00729725,0.00729725
72,3425.37,0.81679,1.02095,1.25126,0.66872,0.58602,0.65632,0.45037,1.25374,2.48862,1.61287,0.0072277,0.0072277,0.0072277
73,3471.16,0.81475,1.01205,1.24776,0.67329,0.58571,0.65655,0.45118,1.25264,2.4844,1.61176,0.00715761,0.00715761,0.00715761
74,3516.72,0.80971,1.00901,1.24383,0.67162,0.58767,0.65757,0.452,1.25115,2.48438,1.60993,0.007087,0.007087,0.007087
75,3562.66,0.81238,1.00978,1.24762,0.67618,0.58475,0.65807,0.45245,1.25064,2.48499,1.60909,0.00701588,0.00701588,0.00701588
76,3608.6,0.80751,0.99166,1.2409,0.67702,0.58569,0.6587,0.45317,1.25037,2.48389,1.6088,0.00694428,0.00694428,0.00694428
77,3654.12,0.80557,0.9938,1.24216,0.67579,0.58597,0.65923,0.4533,1.24988,2.48175,1.60787,0.00687222,0.00687222,0.00687222
78,3700.01,0.8046,0.98769,1.23834,0.67902,0.58254,0.65972,0.4539,1.24993,2.48257,1.60799,0.0067997,0.0067997,0.0067997
79,3745.43,0.80136,0.98555,1.23941,0.67591,0.58643,0.66009,0.45476,1.24919,2.4811,1.6075,0.00672675,0.00672675,0.00672675
80,3790.47,0.80244,0.98738,1.23863,0.67835,0.58477,0.66079,0.45528,1.24861,2.48085,1.607,0.00665339,0.00665339,0.00665339
