epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.5884,3.26437,4.56112,3.78852,0.00135,0.11626,0.00147,0.00046,3.00385,4.40837,3.43364,0.00332609,0.00332609,0.0700652
2,137.38,2.16086,3.34472,2.64679,0.16476,0.06235,0.02471,0.00988,2.20844,4.20117,2.71852,0.00665901,0.00665901,0.0400648
3,190.016,1.57134,2.64399,2.04397,0.12409,0.15517,0.07696,0.03597,1.95119,3.94625,2.45649,0.00999031,0.00999031,0.0100628
4,243.078,1.39585,2.31632,1.84108,0.2194,0.18797,0.11445,0.05871,1.88731,4.10192,2.3191,0.0099945,0.0099945,0.0099945
5,292.257,1.28751,2.10459,1.72756,0.22596,0.24439,0.16411,0.08563,1.82227,3.65254,2.26646,0.00999023,0.00999023,0.00999023
6,338.847,1.21754,1.97135,1.6561,0.28661,0.28483,0.22674,0.12694,1.71489,3.75148,2.09283,0.00998474,0.00998474,0.00998474
7,384.885,1.17364,1.86782,1.60671,0.32538,0.297,0.24652,0.13682,1.71549,3.55573,2.12807,0.00997803,0.00997803,0.00997803
8,430.65,1.13909,1.78136,1.57413,0.40578,0.29439,0.25089,0.13924,1.71769,3.55594,2.12263,0.00997011,0.00997011,0.00997011
9,476.748,1.1088,1.7209,1.54922,0.32999,0.3123,0.28777,0.16668,1.65009,3.55461,2.03104,0.00996097,0.00996097,0.00996097
10,522.974,1.08998,1.67309,1.52716,0.40954,0.33298,0.30891,0.17943,1.61773,3.28079,2.01121,0.00995062,0.00995062,0.00995062
11,569.934,1.07273,1.62634,1.5108,0.46276,0.38005,0.3615,0.21448,1.58543,3.32455,1.97113,0.00993906,0.00993906,0.00993906
12,616.186,1.05772,1.59668,1.49791,0.43409,0.36285,0.35679,0.21175,1.59518,3.25072,2.0065,0.00992629,0.00992629,0.00992629
13,660.538,1.0391,1.55931,1.48125,0.42534,0.39496,0.38674,0.2337,1.5515,3.20189,1.92985,0.00991232,0.00991232,0.00991232
14,706.021,1.01876,1.51951,1.46164,0.51817,0.40404,0.40142,0.24261,1.53086,3.15333,1.91463,0.00989715,0.00989715,0.00989715
