epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.074,3.28003,4.59389,3.78586,0.00062,0.06204,0.00042,0.0001,3.1154,4.61645,3.49975,0.00332609,0.00332609,0.0700652
2,141.167,2.21928,3.43624,2.70213,0.14874,0.08537,0.02922,0.0112,2.159,4.11602,2.66299,0.00665901,0.00665901,0.0400648
3,203.274,1.60802,2.70076,2.08175,0.15152,0.10202,0.04305,0.01844,2.05078,4.19371,2.50139,0.00999031,0.00999031,0.0100628
4,259.033,1.43266,2.38431,1.87803,0.16412,0.196,0.11682,0.05862,1.84842,3.67472,2.30791,0.0099945,0.0099945,0.0099945
5,305.26,1.32151,2.16748,1.75936,0.23945,0.24082,0.16653,0.0905,1.80328,3.81442,2.23013,0.00999023,0.00999023,0.00999023
6,352.481,1.24262,2.0156,1.67877,0.25626,0.25646,0.18861,0.10374,1.7504,3.85104,2.14078,0.00998474,0.00998474,0.00998474
7,398.998,1.1979,1.9074,1.62968,0.29585,0.30639,0.25156,0.14266,1.70844,3.45877,2.08329,0.00997803,0.00997803,0.00997803
8,445.981,1.15976,1.81716,1.59479,0.32183,0.31249,0.27566,0.15701,1.67005,3.45214,2.07248,0.00997011,0.00997011,0.00997011
9,493.362,1.12898,1.75379,1.56732,0.35882,0.31911,0.28716,0.16733,1.63568,3.37307,2.01972,0.00996097,0.00996097,0.00996097
10,539.972,1.10834,1.7008,1.54449,0.39872,0.35152,0.32859,0.19432,1.60269,3.25429,1.97747,0.00995062,0.00995062,0.00995062
11,587.382,1.08906,1.65153,1.5236,0.41532,0.36765,0.35616,0.21055,1.59654,3.2269,1.99564,0.00993906,0.00993906,0.00993906
12,633.284,1.07347,1.6234,1.50965,0.43471,0.37341,0.35829,0.21223,1.59301,3.37558,1.99943,0.00992629,0.00992629,0.00992629
13,679.907,1.05223,1.58067,1.49408,0.4394,0.39508,0.38261,0.23168,1.53823,3.08695,1.94382,0.00991232,0.00991232,0.00991232
14,727.251,1.03079,1.53912,1.47143,0.47524,0.3844,0.38994,0.23865,1.52552,3.16522,1.90157,0.00989715,0.00989715,0.00989715
15,774.256,1.0262,1.52204,1.46217,0.45052,0.41549,0.40396,0.24608,1.52178,3.13022,1.90169,0.00988079,0.00988079,0.00988079
16,820.976,1.01211,1.48756,1.45019,0.50474,0.41117,0.42528,0.26183,1.49528,3.09114,1.87676,0.00986323,0.00986323,0.00986323
17,868.099,0.99867,1.46418,1.43905,0.49809,0.43554,0.44373,0.27384,1.47845,3.00566,1.84412,0.00984449,0.00984449,0.00984449
18,915.22,0.99399,1.43998,1.43365,0.51535,0.42731,0.45396,0.28131,1.46351,2.98846,1.83767,0.00982456,0.00982456,0.00982456
19,961.379,0.98692,1.42785,1.4221,0.51495,0.45093,0.46368,0.28971,1.46151,2.90426,1.8288,0.00980345,0.00980345,0.00980345
20,1006.07,0.98181,1.41428,1.42123,0.53463,0.44833,0.47954,0.29996,1.45167,2.83064,1.83431,0.00978118,0.00978118,0.00978118
21,1053.5,0.96967,1.38169,1.40606,0.54327,0.45797,0.48847,0.30683,1.4436,2.80804,1.82251,0.00975773,0.00975773,0.00975773
22,1100.35,0.96318,1.37402,1.40296,0.53442,0.46643,0.49366,0.31173,1.43251,2.90177,1.80477,0.00973312,0.00973312,0.00973312
23,1147.93,0.96436,1.3681,1.40256,0.5873,0.46179,0.50673,0.32083,1.43092,2.84195,1.80477,0.00970736,0.00970736,0.00970736
24,1195.15,0.95261,1.35522,1.39258,0.57241,0.48033,0.52465,0.33543,1.41494,2.80364,1.80629,0.00968045,0.00968045,0.00968045
25,1241.14,0.94473,1.32722,1.38403,0.57657,0.47775,0.52844,0.33816,1.39494,2.81731,1.77793,0.00965239,0.00965239,0.00965239
26,1286.3,0.94602,1.32582,1.38204,0.59441,0.48322,0.54115,0.34592,1.39667,2.76023,1.76419,0.0096232,0.0096232,0.0096232
27,1332.06,0.93585,1.30993,1.37114,0.59959,0.49506,0.5473,0.35297,1.37778,2.69489,1.74388,0.00959289,0.00959289,0.00959289
