stem,image_path,poisoned,has_target,support_ratio,perturbed_area_ratio,linf,psnr,method,steps,seed
000005,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000005.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000007,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000007.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000009,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000009.jpg,1,1,0.10884800,0.10861867,0.06274509,37.132318,em_bbox,40,0
000012,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000012.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000016,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000016.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000017,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000017.jpg,1,1,0.07424451,0.07371223,0.06274509,39.784343,em_bbox,40,0
000019,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000019.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000020,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000020.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000021,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000021.jpg,1,1,0.62565476,0.62441667,0.06274509,29.865654,em_bbox,40,0
000023,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000023.jpg,1,1,0.93094012,0.92846707,0.06274509,28.101921,em_bbox,40,0
000024,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000024.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000026,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000026.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,em_bbox,40,0
000030,/root/autodl-tmp/ue_project/runs/poisoned_datasets/em_bbox/steps40/seed0/images/train/000030.jpg,1,1,0.19617600,0.19581867,0.06274509,34.854719,em_bbox,40,0
