stem,image_path,is_poisoned,poisoned,has_target,support_ratio,perturbed_area_ratio,linf,psnr,lpips,method,steps,seed,support_source,objective,det_loss_mode,steps_eff
000005,/root/autodl-tmp/ue_project/runs/poisoned_datasets/lsp_mask/steps40/seed0/images/train/000005.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,lsp_mask,40,0,none,none,none,40
000007,/root/autodl-tmp/ue_project/runs/poisoned_datasets/lsp_mask/steps40/seed0/images/train/000007.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,lsp_mask,40,0,none,none,none,40
000009,/root/autodl-tmp/ue_project/runs/poisoned_datasets/lsp_mask/steps40/seed0/images/train/000009.png,1,1,1,0.10884800,0.10884800,0.06274512,34.225540,0.018984,lsp_mask,40,0,unknown,synthetic_class_shortcut,,40
000012,/root/autodl-tmp/ue_project/runs/poisoned_datasets/lsp_mask/steps40/seed0/images/train/000012.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,lsp_mask,40,0,none,none,none,40
000016,/root/autodl-tmp/ue_project/runs/poisoned_datasets/lsp_mask/steps40/seed0/images/train/000016.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,lsp_mask,40,0,none,none,none,40
000017,/root/autodl-tmp/ue_project/runs/poisoned_datasets/lsp_mask/steps40/seed0/images/train/000017.png,1,1,1,0.07424451,0.07394116,0.06274509,36.154568,0.018718,lsp_mask,40,0,unknown,synthetic_class_shortcut,,40
000019,/root/autodl-tmp/ue_project/runs/poisoned_datasets/lsp_mask/steps40/seed0/images/train/000019.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,lsp_mask,40,0,none,none,none,40
000020,/root/autodl-tmp/ue_project/runs/poisoned_datasets/lsp_mask/steps40/seed0/images/train/000020.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,lsp_mask,40,0,none,none,none,40
000021,/root/autodl-tmp/ue_project/runs/poisoned_datasets/lsp_mask/steps40/seed0/images/train/000021.png,1,1,1,0.62565476,0.62563095,0.06274509,26.597651,0.176696,lsp_mask,40,0,unknown,synthetic_class_shortcut,,40
000023,/root/autodl-tmp/ue_project/runs/poisoned_datasets/lsp_mask/steps40/seed0/images/train/000023.png,1,1,1,0.93094012,0.93077844,0.06274509,24.920900,0.131672,lsp_mask,40,0,unknown,synthetic_class_shortcut,,40
