stem,image_path,is_poisoned,poisoned,has_target,support_ratio,perturbed_area_ratio,linf,psnr,lpips,method,steps,seed,support_source,objective,det_loss_mode,steps_eff
000005,/root/autodl-tmp/ue_project/runs/poisoned_datasets/rem_mask/steps40/seed0/images/train/000005.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,rem_mask,40,0,none,none,none,40
000007,/root/autodl-tmp/ue_project/runs/poisoned_datasets/rem_mask/steps40/seed0/images/train/000007.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,rem_mask,40,0,none,none,none,40
000009,/root/autodl-tmp/ue_project/runs/poisoned_datasets/rem_mask/steps40/seed0/images/train/000009.png,1,1,1,0.10884800,0.10875200,0.06274512,38.913319,0.008593,rem_mask,40,0,unknown,target_score_proxy_eot,target_score_proxy_eot,40
000012,/root/autodl-tmp/ue_project/runs/poisoned_datasets/rem_mask/steps40/seed0/images/train/000012.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,rem_mask,40,0,none,none,none,40
000016,/root/autodl-tmp/ue_project/runs/poisoned_datasets/rem_mask/steps40/seed0/images/train/000016.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,rem_mask,40,0,none,none,none,40
000017,/root/autodl-tmp/ue_project/runs/poisoned_datasets/rem_mask/steps40/seed0/images/train/000017.png,1,1,1,0.07424451,0.07166896,0.06274512,41.745125,0.005465,rem_mask,40,0,unknown,target_score_proxy_eot,target_score_proxy_eot,40
000019,/root/autodl-tmp/ue_project/runs/poisoned_datasets/rem_mask/steps40/seed0/images/train/000019.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,rem_mask,40,0,none,none,none,40
000020,/root/autodl-tmp/ue_project/runs/poisoned_datasets/rem_mask/steps40/seed0/images/train/000020.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,rem_mask,40,0,none,none,none,40
000021,/root/autodl-tmp/ue_project/runs/poisoned_datasets/rem_mask/steps40/seed0/images/train/000021.png,1,1,1,0.62565476,0.62466667,0.06274512,32.214867,0.093535,rem_mask,40,0,unknown,target_score_proxy_eot,target_score_proxy_eot,40
000023,/root/autodl-tmp/ue_project/runs/poisoned_datasets/rem_mask/steps40/seed0/images/train/000023.png,1,1,1,0.93094012,0.92941916,0.06274512,30.091380,0.102425,rem_mask,40,0,unknown,target_score_proxy_eot,target_score_proxy_eot,40
000024,/root/autodl-tmp/ue_project/runs/poisoned_datasets/rem_mask/steps40/seed0/images/train/000024.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,rem_mask,40,0,none,none,none,40
000026,/root/autodl-tmp/ue_project/runs/poisoned_datasets/rem_mask/steps40/seed0/images/train/000026.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,rem_mask,40,0,none,none,none,40
000030,/root/autodl-tmp/ue_project/runs/poisoned_datasets/rem_mask/steps40/seed0/images/train/000030.png,1,1,1,0.19617600,0.19587733,0.06274512,37.046579,0.016092,rem_mask,40,0,unknown,target_score_proxy_eot,target_score_proxy_eot,40
000032,/root/autodl-tmp/ue_project/runs/poisoned_datasets/rem_mask/steps40/seed0/images/train/000032.png,1,1,1,0.01242705,0.01239858,0.06274509,48.432722,0.002762,rem_mask,40,0,unknown,target_score_proxy_eot,target_score_proxy_eot,40
