stem,image_path,is_poisoned,poisoned,has_target,support_ratio,perturbed_area_ratio,linf,psnr,lpips,method,steps,seed,support_source,objective,det_loss_mode,steps_eff
000005,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tap_mask/steps40/seed0/images/train/000005.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,tap_mask,40,0,none,none,none,40
000007,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tap_mask/steps40/seed0/images/train/000007.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,tap_mask,40,0,none,none,none,40
000009,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tap_mask/steps40/seed0/images/train/000009.png,1,1,1,0.10884800,0.10883200,0.06274512,36.872594,0.010672,tap_mask,40,0,unknown,untargeted_det_loss,proxy_target_score_target_only,40
000012,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tap_mask/steps40/seed0/images/train/000012.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,tap_mask,40,0,none,none,none,40
000016,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tap_mask/steps40/seed0/images/train/000016.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,tap_mask,40,0,none,none,none,40
000017,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tap_mask/steps40/seed0/images/train/000017.png,1,1,1,0.07424451,0.07399267,0.06274512,38.450420,0.008743,tap_mask,40,0,unknown,untargeted_det_loss,proxy_target_score_target_only,40
000019,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tap_mask/steps40/seed0/images/train/000019.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,tap_mask,40,0,none,none,none,40
000020,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tap_mask/steps40/seed0/images/train/000020.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,tap_mask,40,0,none,none,none,40
000021,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tap_mask/steps40/seed0/images/train/000021.png,1,1,1,0.62565476,0.62547024,0.06274512,29.927501,0.115114,tap_mask,40,0,unknown,untargeted_det_loss,proxy_target_score_target_only,40
000023,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tap_mask/steps40/seed0/images/train/000023.png,1,1,1,0.93094012,0.93058683,0.06274512,28.072795,0.122195,tap_mask,40,0,unknown,untargeted_det_loss,proxy_target_score_target_only,40
000024,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tap_mask/steps40/seed0/images/train/000024.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,tap_mask,40,0,none,none,none,40
000026,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tap_mask/steps40/seed0/images/train/000026.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,tap_mask,40,0,none,none,none,40
000030,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tap_mask/steps40/seed0/images/train/000030.png,1,1,1,0.19617600,0.19617067,0.06274512,34.212370,0.022050,tap_mask,40,0,unknown,untargeted_det_loss,proxy_target_score_target_only,40
000032,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tap_mask/steps40/seed0/images/train/000032.png,1,1,1,0.01242705,0.01242705,0.06274512,45.438039,0.004562,tap_mask,40,0,unknown,untargeted_det_loss,proxy_target_score_target_only,40
000033,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tap_mask/steps40/seed0/images/train/000033.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,tap_mask,40,0,none,none,none,40
000034,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tap_mask/steps40/seed0/images/train/000034.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,tap_mask,40,0,none,none,none,40
000035,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tap_mask/steps40/seed0/images/train/000035.png,1,1,1,0.55966400,0.55952533,0.06274512,30.334492,0.144590,tap_mask,40,0,unknown,untargeted_det_loss,proxy_target_score_target_only,40
000036,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tap_mask/steps40/seed0/images/train/000036.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,tap_mask,40,0,none,none,none,40
000039,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tap_mask/steps40/seed0/images/train/000039.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,tap_mask,40,0,none,none,none,40
000041,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tap_mask/steps40/seed0/images/train/000041.png,1,1,1,0.14530330,0.14523123,0.06274512,36.045692,0.029738,tap_mask,40,0,unknown,untargeted_det_loss,proxy_target_score_target_only,40
000042,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tap_mask/steps40/seed0/images/train/000042.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,tap_mask,40,0,none,none,none,40
000044,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tap_mask/steps40/seed0/images/train/000044.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,tap_mask,40,0,none,none,none,40
000046,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tap_mask/steps40/seed0/images/train/000046.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,tap_mask,40,0,none,none,none,40
000047,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tap_mask/steps40/seed0/images/train/000047.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,tap_mask,40,0,none,none,none,40
000048,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tap_mask/steps40/seed0/images/train/000048.png,1,1,1,0.79840000,0.79825067,0.06274512,28.879787,0.201100,tap_mask,40,0,unknown,untargeted_det_loss,proxy_target_score_target_only,40
000050,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tap_mask/steps40/seed0/images/train/000050.png,1,1,1,0.54909867,0.54901333,0.06274512,30.291665,0.151866,tap_mask,40,0,unknown,untargeted_det_loss,proxy_target_score_target_only,40
000051,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tap_mask/steps40/seed0/images/train/000051.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,tap_mask,40,0,none,none,none,40
000052,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tap_mask/steps40/seed0/images/train/000052.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,tap_mask,40,0,none,none,none,40
000060,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tap_mask/steps40/seed0/images/train/000060.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,tap_mask,40,0,none,none,none,40
000061,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tap_mask/steps40/seed0/images/train/000061.png,0,0,0,0.00000000,0.00000000,0.00000000,inf,0.000000,tap_mask,40,0,none,none,none,40
