stem,image_path,poisoned,has_target,support_ratio,perturbed_area_ratio,linf,psnr,method,steps,seed
000005,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000005.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,2
000007,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000007.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,2
000009,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000009.jpg,1,1,0.07195733,0.08723733,0.06274509,37.250772,tausb_mask,40,2
000012,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000012.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,2
000016,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000016.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,2
000017,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000017.jpg,1,1,0.04769345,0.05548878,0.06274509,39.659198,tausb_mask,40,2
000019,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000019.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,2
000020,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000020.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,2
000021,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000021.jpg,1,1,0.40400000,0.44372024,0.06274509,30.374892,tausb_mask,40,2
000023,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000023.jpg,1,1,0.65391617,0.69771856,0.06274509,28.503035,tausb_mask,40,2
000024,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000024.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,2
000026,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000026.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,2
000030,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000030.jpg,1,1,0.12396800,0.14109867,0.06274509,34.931798,tausb_mask,40,2
000032,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000032.jpg,1,1,0.00848399,0.01503203,0.06274509,45.278690,tausb_mask,40,2
000033,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000033.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,2
000034,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000034.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,2
000035,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000035.jpg,1,1,0.35665067,0.38570667,0.06274509,31.146157,tausb_mask,40,2
000036,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000036.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,2
000039,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000039.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,2
000041,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000041.jpg,1,1,0.09501502,0.10945345,0.06274509,36.863260,tausb_mask,40,2
000042,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000042.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,2
000044,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000044.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,2
000046,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000046.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,2
000047,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000047.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,2
000048,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000048.jpg,1,1,0.50894400,0.53421867,0.06274509,29.787017,tausb_mask,40,2
000050,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000050.jpg,1,1,0.37490133,0.40997333,0.06274509,31.115772,tausb_mask,40,2
000051,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000051.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,2
000052,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000052.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,2
000060,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000060.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,2
000061,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000061.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,2
000063,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000063.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,2
000064,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000064.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,2
000065,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000065.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,2
000066,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000066.jpg,1,1,0.01759467,0.02522667,0.06274509,42.337642,tausb_mask,40,2
000072,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000072.jpg,0,0,0.00000000,0.00000000,0.00000000,99.000000,tausb_mask,40,2
000073,/root/autodl-tmp/ue_project/runs/poisoned_datasets/tausb_mask/steps40/seed2/images/train/000073.jpg,1,1,0.15201600,0.16796800,0.06274509,34.728963,tausb_mask,40,2
