epoch,align_clean_topk,align_adv_topk,L_entangle_bg,L_anchor,L_collapse_aux,alsi_score,cos_t_conf,cos_t_clean,M_conf_sum,rlcp_conf_mass,rlcp_trim_keep_ratio,rlcp_core_exclusion_ratio,rlcp_adaptive_inner_mean,rlcp_adaptive_outer_mean,rlcp_adaptive_inner_min,rlcp_adaptive_outer_max,confounder_purity_ratio,overlap_ratio,preserve_loss,L_margin,margin_clean_mean,margin_adv_mean,gate_positive_ratio,pag_positive_ratio,pag_threshold,pag_mean_target_score,pag_fallback_count,perturbed_area_ratio_mean,L_tv,L_budget,L_total,L_tsvc,L_sem,sld_score,mean_abs_delta,max_abs_delta,saturation_ratio,support_prebaked_ratio,support_fallback_ratio,support_forced_pseudo_fallback_ratio,support_empty_ratio,grad_norm_fourier,grad_norm_suppress,freq_mode,freq_active_num_bases,freq_candidate_num_bases,freq_score_top_mean,enable_band_aware_freq_basis,freq_band_low_candidate_num,freq_band_mid_candidate_num,freq_band_high_candidate_num,freq_band_low_active_num,freq_band_mid_active_num,freq_band_high_active_num,freq_band_low_score_mean,freq_band_mid_score_mean,freq_band_high_score_mean,freq_band_low_score_top_mean,freq_band_mid_score_top_mean,freq_band_high_score_top_mean,freq_band_low_radius_mean,freq_band_mid_radius_mean,freq_band_high_radius_mean,freq_selected_low_indices,freq_selected_mid_indices,freq_selected_high_indices,freq_selected_low_coords,freq_selected_mid_coords,freq_selected_high_coords
1,0.02245887715780125,0.018834009599136163,3.407660491197441,0.7865176124124729,0.1757866828812389,1330020.5389778272,0.5724320051733692,0.8961951181696682,2802.2899678548183,260326.51706036745,0.8226384649465504,0.12476999648109487,13.660112979413595,32.21580564920282,8.03983035209196,36.0,0.875206006529874,0.942750745821261,0.012696208324762467,0.014979230845897041,0.41357947273908324,0.3634865639873064,0.011904762126505375,0.5343659166269891,0.7756266490148154,0.7521251167284895,4.74015748031496,0.15864892957091645,0.014982238762677107,0.5665755334879783,60.59420541077461,0.1757866828812389,0.7865176124124729,1330020.5389778272,0.007150504809591596,0.0627450942993164,0.09264585585027856,0.0,1.0,1.0,0.0,6.802124977111816,-1.0,explore,16,64,0.9832144975662231,True,16,32,16,1,13,2,0.9324548244476318,0.8176796436309814,0.9259154796600342,1.1040574312210083,0.9488571882247925,1.146116018295288,5.5528267713635415,16.407041394653806,38.8692674917306,[0],"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]","[48, 49]","[[633, 0]]","[[630, 638], [13, 625], [626, 630], [635, 19], [630, 7], [8, 625], [16, 636], [6, 12], [636, 628], [4, 623], [634, 10], [18, 4], [623, 10]]","[[633, 608], [0, 33]]"
2,0.02234547365923703,0.018557700978743593,3.2639714107112936,0.8452914303212654,0.17102403234778427,1288810.7828459933,0.5793250778489538,0.8866742387192347,2803.5903097104333,260077.95800524935,0.8226916186922184,0.1251148415552453,13.652895963469462,32.19763642052307,8.04716788979917,36.0,0.8748894178129789,0.9437461363057383,0.013679731350020551,0.016286414561581156,0.4142819825080749,0.36045623621524475,0.011904762126505375,0.5345549306626876,0.7741840980924135,0.7511672923258265,4.688976377952756,0.15976058748450492,0.01687695746972492,0.59592621306109,58.5068081432753,0.17102403234778427,0.8452914303212654,1288810.7828459933,0.007413217864485746,0.0627450942993164,0.09952009661890704,0.0,1.0,1.0,0.0,5.09623908996582,-1.0,explore,16,64,0.9269618988037109,True,16,32,16,1,13,2,0.9066821932792664,0.7502899169921875,0.8711727857589722,1.006246566772461,0.9063977003097534,1.0209870338439941,5.5528267713635415,16.407041394653806,38.8692674917306,[0],"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]","[48, 49]","[[633, 0]]","[[630, 638], [13, 625], [626, 630], [635, 19], [630, 7], [8, 625], [16, 636], [6, 12], [636, 628], [4, 623], [634, 10], [18, 4], [623, 10]]","[[633, 608], [0, 33]]"
3,0.022365248526184968,0.018651774478831824,3.2528043703770075,0.883299906970322,0.1705542816694953,1355766.7118046354,0.5788090209479095,0.8847870785263893,2808.155730159889,259983.56955380578,0.822503733170836,0.12502085816994396,13.661800558871693,32.21067932934853,8.064523253692421,36.0,0.8749466656140963,0.9414588193624054,0.013743965576092402,0.016371401977111778,0.41254779845085043,0.35831744299121104,0.011904762126505375,0.5345339199699523,0.7718519269062084,0.7489359186873625,4.725721784776903,0.1601162678574327,0.01794115699133457,0.6211569015904674,58.51153431289152,0.1705542816694953,0.883299906970322,1355766.7118046354,0.007507443701814166,0.0627450942993164,0.102239883663695,0.0,1.0,1.0,0.0,10.47158432006836,-1.0,explore,16,64,0.9108399152755737,True,16,32,16,1,13,2,0.9010800123214722,0.7193374037742615,0.8471351861953735,0.9694907665252686,0.8949555158615112,0.984762966632843,5.5528267713635415,16.407041394653806,38.8692674917306,[0],"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]","[48, 49]","[[633, 0]]","[[630, 638], [13, 625], [626, 630], [635, 19], [630, 7], [8, 625], [16, 636], [6, 12], [636, 628], [4, 623], [634, 10], [18, 4], [623, 10]]","[[633, 608], [0, 33]]"
4,0.022477706096176636,0.01866622564164076,3.2221623824963106,0.8986535496286207,0.17188148448864618,1286529.2997052982,0.5805345529320463,0.8830237629662869,2800.7184214888184,260366.8845144357,0.8224467792118838,0.12522770930020033,13.643956553417961,32.18508403582479,8.055490924762754,36.0,0.8747632461884705,0.9435512570142724,0.013984368646546728,0.016644739503562794,0.41218014579667195,0.3571892933934692,0.011904762126505375,0.5351132485733284,0.7765202562072003,0.7527074169757783,4.7047244094488185,0.15954082609787387,0.018727822947924532,0.6337640126702666,58.08614760871947,0.17188148448864618,0.8986535496286207,1286529.2997052982,0.007551197509533112,0.0627450942993164,0.10409306839421352,0.0,1.0,1.0,0.0,6.798473834991455,-1.0,explore,16,64,0.9138293266296387,True,16,32,16,1,13,2,0.902385950088501,0.7029217481613159,0.8430035710334778,0.9991347193717957,0.8933829665184021,1.0040781497955322,5.5528267713635415,16.407041394653806,38.8692674917306,[0],"[16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]","[48, 49]","[[633, 0]]","[[630, 638], [13, 625], [626, 630], [635, 19], [630, 7], [8, 625], [16, 636], [6, 12], [636, 628], [4, 623], [634, 10], [18, 4], [623, 10]]","[[633, 608], [0, 33]]"
5,0.02246384478108151,0.01856800535659543,3.2205724878886866,0.913316480834966,0.1688981764507419,1375092.381692173,0.5794347230172272,0.881784876252826,2801.348384266449,260422.65091863516,0.8225890287081612,0.12500706062401865,13.670834931923974,32.224213572498066,8.05086574999604,36.0,0.874957564414321,0.9426901113259644,0.014198678022548752,0.016972986315474833,0.4132677128934485,0.3576947851815405,0.011904762126505375,0.5346519529604915,0.775745134762951,0.7527955923500054,4.746719160104987,0.15965556058045136,0.01962011819827588,0.6487860060113622,58.12629439386483,0.1688981764507419,0.913316480834966,1375092.381692173,0.007618816414227088,0.0627450942993164,0.10617565693152858,0.0,1.0,1.0,0.0,7.3965983390808105,-1.0,explore,16,64,0.9185808300971985,True,16,32,16,1,13,2,0.8957814574241638,0.6934589147567749,0.8410671353340149,1.0200610160827637,0.8984793424606323,0.9985008239746094,5.5528267713635415,16.407041394653806,38.8692674917306,[0],"[16, 17, 18, 19, 20, 21, 22, 23, 24, 43, 44, 45, 46]","[48, 49]","[[633, 0]]","[[630, 638], [13, 625], [626, 630], [635, 19], [630, 7], [8, 625], [16, 636], [6, 12], [636, 628], [627, 622], [0, 629], [5, 629], [636, 14]]","[[633, 608], [0, 33]]"
6,0.022559242406151113,0.019781029725745514,3.4432952948442592,0.7604874051383786,0.17655609862932695,1328445.56354424,0.5716837381036367,0.9004072505892737,2799.368141634884,260664.3254593176,0.8225488659069395,0.12499650918766482,13.645899784432846,32.188682932629895,8.041701019588457,36.0,0.874972851535526,0.945081819527125,0.013603601725087587,0.015964616016574017,0.41564213783722226,0.36208366911633433,0.011904762126505375,0.5349332628598678,0.776874574960351,0.7545299681361383,4.6430446194225725,0.15945768094281826,0.02007985590979105,0.6724261323141614,61.05482944478513,0.17655609862932695,0.7604874051383786,1328445.56354424,0.007650669407480814,0.0627450942993164,0.10741209171301737,0.0,1.0,1.0,0.0,7.705646514892578,-1.0,fixed_topk,16,64,0.9185808897018433,True,16,32,16,1,13,2,0.8957814574241638,0.6934589147567749,0.8410671353340149,1.0200610160827637,0.8984793424606323,0.9985008239746094,5.5528267713635415,16.407041394653806,38.8692674917306,[0],"[16, 17, 18, 19, 20, 21, 22, 23, 24, 43, 44, 45, 46]","[48, 49]","[[633, 0]]","[[630, 638], [13, 625], [626, 630], [635, 19], [630, 7], [8, 625], [16, 636], [6, 12], [636, 628], [627, 622], [0, 629], [5, 629], [636, 14]]","[[633, 608], [0, 33]]"
7,0.02232593629971205,0.019546158446165248,3.2880890450765454,0.8596008350373566,0.17176563425718017,1387895.6994312808,0.5779347949153694,0.888350647740059,2805.1547942607936,260348.5039370079,0.8225725225784856,0.12491858672911421,13.658868831153994,32.2099522861976,8.047372298204772,36.0,0.8750526874211044,0.9447843393161394,0.014321932116929158,0.017020222474118142,0.41260859172722797,0.356433879906737,0.011904762126505375,0.5346012160767749,0.7745303309010831,0.7520770850682028,4.730971128608924,0.16012991286247108,0.021746893137145857,0.6767746731052249,58.97875109494827,0.17176563425718017,0.8596008350373566,1387895.6994312808,0.007804349436378229,0.0627450942993164,0.11170414327753811,0.0,1.0,1.0,0.0,7.904352188110352,-1.0,fixed_topk,16,64,0.9185808897018433,True,16,32,16,1,13,2,0.8957814574241638,0.6934589147567749,0.8410671353340149,1.0200610160827637,0.8984793424606323,0.9985008239746094,5.5528267713635415,16.407041394653806,38.8692674917306,[0],"[16, 17, 18, 19, 20, 21, 22, 23, 24, 43, 44, 45, 46]","[48, 49]","[[633, 0]]","[[630, 638], [13, 625], [626, 630], [635, 19], [630, 7], [8, 625], [16, 636], [6, 12], [636, 628], [627, 622], [0, 629], [5, 629], [636, 14]]","[[633, 608], [0, 33]]"
8,0.02245993022574723,0.019645864173911728,3.27126052999121,0.8865543639878901,0.17069761662345545,1426481.868559619,0.5776074451150754,0.8862695917395891,2802.0442256977553,260510.3412073491,0.822517480171259,0.1251302036534206,13.671731543073696,32.23036725363648,8.08020643608089,36.0,0.8748436086277659,0.9414472323215898,0.014651422122410275,0.017468177324715204,0.41358223185920967,0.35581742237832914,0.011904762126505375,0.5339532202962243,0.7766647235769849,0.7532678167558368,4.691601049868766,0.15990168450698453,0.022778619777440556,0.6944147794265446,58.8336308596954,0.17069761662345545,0.8865543639878901,1426481.868559619,0.007838465365656992,0.0627450942993164,0.11306188996695471,0.0,1.0,1.0,0.0,9.531213760375977,-1.0,fixed_topk,16,64,0.9185808897018433,True,16,32,16,1,13,2,0.8957814574241638,0.6934589147567749,0.8410671353340149,1.0200610160827637,0.8984793424606323,0.9985008239746094,5.5528267713635415,16.407041394653806,38.8692674917306,[0],"[16, 17, 18, 19, 20, 21, 22, 23, 24, 43, 44, 45, 46]","[48, 49]","[[633, 0]]","[[630, 638], [13, 625], [626, 630], [635, 19], [630, 7], [8, 625], [16, 636], [6, 12], [636, 628], [627, 622], [0, 629], [5, 629], [636, 14]]","[[633, 608], [0, 33]]"
9,0.0224246091778901,0.019553618629345685,3.253015844840703,0.8924830451099266,0.1720576078638317,1376516.245058223,0.5784352269033438,0.8848695879898257,2803.179663897604,260337.3280839895,0.8226363911820619,0.12511759367055553,13.653237831199686,32.200014168774715,8.031356181335937,36.0,0.8748644106754525,0.943461366129224,0.01472165260899059,0.01751636205984492,0.4149484283381247,0.3570070608306353,0.011904762126505375,0.5346193049137205,0.7750554074448588,0.7527516338806964,4.717847769028872,0.16020379334766408,0.023770610097883723,0.7051226635930419,58.56557547701938,0.1720576078638317,0.8924830451099266,1376516.245058223,0.007898961385746249,0.0627450942993164,0.11480160663759928,0.0,1.0,1.0,0.0,5.690266132354736,-1.0,fixed_topk,16,64,0.9185808897018433,True,16,32,16,1,13,2,0.8957814574241638,0.6934589147567749,0.8410671353340149,1.0200610160827637,0.8984793424606323,0.9985008239746094,5.5528267713635415,16.407041394653806,38.8692674917306,[0],"[16, 17, 18, 19, 20, 21, 22, 23, 24, 43, 44, 45, 46]","[48, 49]","[[633, 0]]","[[630, 638], [13, 625], [626, 630], [635, 19], [630, 7], [8, 625], [16, 636], [6, 12], [636, 628], [627, 622], [0, 629], [5, 629], [636, 14]]","[[633, 608], [0, 33]]"
10,0.022433771417547124,0.019608621172646057,3.242017662118426,0.8869942903831562,0.17140956226922083,1310514.841188356,0.579131623212173,0.8844686883067425,2799.264516248062,260083.58792650918,0.8225876380035151,0.12486988148131743,13.6446130216489,32.18513069327936,8.058673443113756,36.0,0.8751095820247509,0.9416692906791897,0.01476491226819576,0.017569404467459086,0.41379706031615965,0.3553343944818642,0.011904762126505375,0.5347915230919926,0.775215001224003,0.7519529509896374,4.678477690288714,0.16032327967757,0.024393919420250133,0.7054878928529935,58.35515156943654,0.17140956226922083,0.8869942903831562,1310514.841188356,0.00793432217003323,0.0627450942993164,0.11584146745170508,0.0,1.0,1.0,0.0,9.223258972167969,-1.0,fixed_topk,16,64,0.9185808897018433,True,16,32,16,1,13,2,0.8957814574241638,0.6934589147567749,0.8410671353340149,1.0200610160827637,0.8984793424606323,0.9985008239746094,5.5528267713635415,16.407041394653806,38.8692674917306,[0],"[16, 17, 18, 19, 20, 21, 22, 23, 24, 43, 44, 45, 46]","[48, 49]","[[633, 0]]","[[630, 638], [13, 625], [626, 630], [635, 19], [630, 7], [8, 625], [16, 636], [6, 12], [636, 628], [627, 622], [0, 629], [5, 629], [636, 14]]","[[633, 608], [0, 33]]"
