epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.8298,3.26372,4.52255,3.79358,0.00133,0.13456,0.00136,0.00035,3.02832,4.31157,3.45584,0.00332609,0.00332609,0.0700652
2,159.715,2.16723,3.35997,2.65096,0.15236,0.08612,0.02622,0.00998,2.28032,4.58739,2.73427,0.00665901,0.00665901,0.0400648
3,206.77,1.60328,2.67497,2.07529,0.11882,0.13588,0.07767,0.03594,1.99608,3.96282,2.48411,0.00999031,0.00999031,0.0100628
4,252.412,1.43053,2.36149,1.87292,0.16917,0.20288,0.11302,0.05767,1.88112,3.79486,2.33279,0.0099945,0.0099945,0.0099945
5,297.21,1.32421,2.15514,1.76088,0.25595,0.21235,0.16295,0.08747,1.79398,3.74702,2.22636,0.00999023,0.00999023,0.00999023
6,343.51,1.24759,2.00616,1.68008,0.26704,0.23315,0.18086,0.09922,1.76182,3.98581,2.11496,0.00998474,0.00998474,0.00998474
7,389.343,1.20522,1.90424,1.63117,0.27261,0.3062,0.22457,0.12584,1.716,3.53697,2.13877,0.00997803,0.00997803,0.00997803
8,433.065,1.16765,1.81491,1.59364,0.34599,0.31934,0.27603,0.15741,1.66545,3.54455,2.06178,0.00997011,0.00997011,0.00997011
9,478.866,1.13627,1.74924,1.56731,0.32666,0.30849,0.27722,0.15992,1.63204,3.40972,2.01629,0.00996097,0.00996097,0.00996097
10,525.747,1.11671,1.70076,1.5451,0.36365,0.34218,0.30672,0.18012,1.63265,3.3176,2.00444,0.00995062,0.00995062,0.00995062
11,571.674,1.09728,1.64833,1.52548,0.41934,0.36394,0.35058,0.20738,1.57391,3.30589,1.98296,0.00993906,0.00993906,0.00993906
12,614.916,1.08305,1.62424,1.51434,0.4341,0.38712,0.37383,0.22262,1.56549,3.33336,1.95671,0.00992629,0.00992629,0.00992629
13,660.137,1.06257,1.58304,1.49713,0.41501,0.38983,0.37032,0.22381,1.53513,3.31844,1.91806,0.00991232,0.00991232,0.00991232
14,703.106,1.03898,1.54381,1.47378,0.4732,0.39748,0.40459,0.24255,1.53412,3.12067,1.93159,0.00989715,0.00989715,0.00989715
15,748.317,1.03551,1.5227,1.46644,0.45234,0.41152,0.40693,0.24807,1.50888,3.21032,1.89049,0.00988079,0.00988079,0.00988079
16,792.593,1.02148,1.49265,1.45556,0.48037,0.42505,0.43083,0.26364,1.51283,3.1227,1.89544,0.00986323,0.00986323,0.00986323
17,838.04,1.0115,1.46882,1.44554,0.49143,0.43802,0.44641,0.27499,1.49248,3.031,1.86884,0.00984449,0.00984449,0.00984449
18,883.047,1.00271,1.45104,1.44045,0.51428,0.4415,0.45984,0.28187,1.48969,3.04968,1.86891,0.00982456,0.00982456,0.00982456
19,926.361,0.9955,1.43074,1.42691,0.51572,0.44429,0.46719,0.29076,1.4563,3.02734,1.83161,0.00980345,0.00980345,0.00980345
20,971.578,0.98879,1.41699,1.4237,0.51365,0.45155,0.46797,0.29147,1.45866,2.93031,1.84504,0.00978118,0.00978118,0.00978118
21,1018.25,0.97899,1.38941,1.41126,0.54547,0.45464,0.49087,0.30677,1.4363,2.9951,1.8086,0.00975773,0.00975773,0.00975773
22,1063.34,0.97323,1.38028,1.40842,0.5471,0.46329,0.49722,0.3135,1.4327,2.89678,1.80931,0.00973312,0.00973312,0.00973312
23,1108.15,0.97048,1.37084,1.40417,0.57813,0.46353,0.5113,0.32295,1.43374,2.94492,1.81789,0.00970736,0.00970736,0.00970736
24,1152.77,0.96225,1.3582,1.39796,0.57979,0.47037,0.515,0.32849,1.41854,2.93302,1.79352,0.00968045,0.00968045,0.00968045
25,1197.12,0.9522,1.33381,1.38789,0.58126,0.4812,0.5246,0.33826,1.39579,2.91099,1.7708,0.00965239,0.00965239,0.00965239
26,1242.26,0.95605,1.33115,1.38702,0.56922,0.48445,0.52152,0.33316,1.40157,2.83131,1.77863,0.0096232,0.0096232,0.0096232
27,1288.82,0.94582,1.31666,1.38045,0.58434,0.49378,0.54317,0.34773,1.39141,2.79641,1.76599,0.00959289,0.00959289,0.00959289
28,1333.82,0.9471,1.30994,1.37821,0.59585,0.48724,0.54102,0.34856,1.3857,2.81552,1.75649,0.00956145,0.00956145,0.00956145
29,1378.65,0.92758,1.28645,1.36423,0.591,0.49184,0.54321,0.34953,1.37203,2.77676,1.74138,0.00952889,0.00952889,0.00952889
30,1423.94,0.92982,1.28778,1.36624,0.59451,0.50414,0.55159,0.35469,1.36629,2.78694,1.72911,0.00949524,0.00949524,0.00949524
31,1470.42,0.92307,1.26518,1.35762,0.60667,0.50002,0.55794,0.36141,1.36683,2.7254,1.73739,0.00946048,0.00946048,0.00946048
32,1515.38,0.91739,1.25466,1.35068,0.62964,0.50734,0.57144,0.37115,1.35313,2.71573,1.7196,0.00942464,0.00942464,0.00942464
