epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,74.4624,3.25479,4.57516,3.7491,0.80283,0.00491,0.00174,0.00041,2.87847,4.4222,3.30133,0.00332609,0.00332609,0.0700652
2,135.782,2.1181,3.38324,2.60978,0.25175,0.07087,0.02425,0.00962,2.2332,4.17739,2.74482,0.00665901,0.00665901,0.0400648
3,189.888,1.59947,2.69914,2.07024,0.1359,0.12713,0.05232,0.02288,2.01665,4.09529,2.49779,0.00999031,0.00999031,0.0100628
4,246.146,1.42939,2.37202,1.86872,0.17987,0.20401,0.12769,0.06635,1.88953,3.46565,2.33972,0.0099945,0.0099945,0.0099945
5,303.973,1.31613,2.15095,1.74824,0.23571,0.24192,0.16938,0.0887,1.79936,3.47641,2.23844,0.00999023,0.00999023,0.00999023
6,357.766,1.2402,2.00375,1.67155,0.26295,0.266,0.20589,0.11387,1.76946,3.78232,2.14663,0.00998474,0.00998474,0.00998474
7,409.466,1.20085,1.90712,1.62764,0.31739,0.29911,0.25156,0.14011,1.71288,3.34361,2.1093,0.00997803,0.00997803,0.00997803
8,458.885,1.16654,1.81787,1.59425,0.33472,0.32132,0.27647,0.157,1.6677,3.46849,2.08458,0.00997011,0.00997011,0.00997011
9,506.207,1.13835,1.75671,1.56936,0.35085,0.31986,0.29763,0.17332,1.63113,3.27429,2.00441,0.00996097,0.00996097,0.00996097
10,559.656,1.11538,1.70722,1.54565,0.41139,0.33929,0.33263,0.19458,1.58526,3.12581,1.97229,0.00995062,0.00995062,0.00995062
11,614.67,1.09742,1.65402,1.52662,0.42145,0.35193,0.33096,0.1891,1.61529,3.20216,2.0316,0.00993906,0.00993906,0.00993906
12,668.266,1.08364,1.6244,1.51352,0.43717,0.35801,0.3587,0.21358,1.56773,3.213,1.96854,0.00992629,0.00992629,0.00992629
13,721.241,1.06363,1.58937,1.4982,0.4079,0.38274,0.36633,0.22003,1.5444,3.23121,1.93575,0.00991232,0.00991232,0.00991232
14,767.947,1.04021,1.5453,1.4765,0.48545,0.40004,0.40375,0.24163,1.52808,3.08402,1.90737,0.00989715,0.00989715,0.00989715
15,813.781,1.03606,1.52678,1.46619,0.47026,0.42041,0.41833,0.25282,1.52386,3.02151,1.89954,0.00988079,0.00988079,0.00988079
16,860.074,1.01978,1.49511,1.45386,0.48485,0.42039,0.43566,0.26418,1.50336,2.93309,1.87624,0.00986323,0.00986323,0.00986323
17,910.158,1.01193,1.47411,1.4469,0.52258,0.43664,0.45515,0.27781,1.4861,2.90057,1.84938,0.00984449,0.00984449,0.00984449
18,961.531,1.00014,1.45449,1.43725,0.52699,0.43038,0.45894,0.28343,1.48421,2.93574,1.85268,0.00982456,0.00982456,0.00982456
19,1007.76,0.99886,1.43528,1.4307,0.49712,0.44572,0.46242,0.28637,1.47459,2.90541,1.84607,0.00980345,0.00980345,0.00980345
