epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.7005,3.27872,4.59767,3.78294,0.00161,0.16328,0.00173,0.00043,2.9926,7.85137,3.44785,0.00332609,0.00332609,0.0700652
2,114.023,2.23108,3.49006,2.70213,0.23953,0.09149,0.03786,0.0152,2.16485,3.98675,2.6585,0.00665901,0.00665901,0.0400648
3,163.612,1.68268,2.79877,2.13109,0.18855,0.12556,0.05864,0.02713,1.9928,3.80309,2.443,0.00999031,0.00999031,0.0100628
4,210.197,1.5092,2.45815,1.92424,0.1326,0.18733,0.101,0.04824,1.9114,3.91587,2.32701,0.0099945,0.0099945,0.0099945
5,256.595,1.39663,2.23267,1.81059,0.25493,0.23274,0.16719,0.08562,1.81743,3.52919,2.23014,0.00999023,0.00999023,0.00999023
6,303.19,1.31988,2.07906,1.73816,0.24215,0.22437,0.16904,0.09107,1.80183,3.8359,2.17291,0.00998474,0.00998474,0.00998474
7,347.213,1.278,1.98282,1.69229,0.30957,0.29282,0.24222,0.13449,1.71119,3.45396,2.12548,0.00997803,0.00997803,0.00997803
8,392.802,1.23947,1.88985,1.65511,0.33268,0.34208,0.28786,0.16391,1.64137,3.24973,2.05171,0.00997011,0.00997011,0.00997011
9,438.829,1.20599,1.82233,1.62416,0.35993,0.32379,0.29873,0.17403,1.6225,3.37162,2.03308,0.00996097,0.00996097,0.00996097
10,483.266,1.18001,1.77154,1.59798,0.39997,0.34917,0.32523,0.18829,1.60689,3.11601,2.01942,0.00995062,0.00995062,0.00995062
11,530.304,1.16666,1.72186,1.5794,0.39349,0.35512,0.33802,0.19785,1.58826,3.14097,1.99539,0.00993906,0.00993906,0.00993906
12,576.18,1.14494,1.69171,1.56081,0.43255,0.38066,0.36272,0.21426,1.56675,3.18155,1.96116,0.00992629,0.00992629,0.00992629
13,621.103,1.12437,1.65077,1.54455,0.43599,0.39268,0.38087,0.22934,1.52016,3.00248,1.92782,0.00991232,0.00991232,0.00991232
14,667.052,1.10143,1.6076,1.52144,0.49057,0.37937,0.38503,0.23017,1.53032,3.11735,1.90463,0.00989715,0.00989715,0.00989715
15,712.8,1.10155,1.58825,1.5138,0.4833,0.40662,0.39941,0.24053,1.5101,3.06355,1.89821,0.00988079,0.00988079,0.00988079
