epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.1199,3.27752,4.57162,3.78186,0.60292,0.00801,0.00143,0.00037,2.94911,4.314,3.37633,0.00332609,0.00332609,0.0700652
2,130.805,2.29275,3.59995,2.75724,0.18741,0.10037,0.03923,0.01749,2.1506,3.96518,2.64834,0.00665901,0.00665901,0.0400648
3,192.615,1.78057,2.9559,2.22869,0.2172,0.15039,0.07188,0.03247,1.95051,3.52563,2.43739,0.00999031,0.00999031,0.0100628
4,251.265,1.63894,2.66617,2.05331,0.23477,0.21195,0.12715,0.06469,1.8394,3.37568,2.32036,0.0099945,0.0099945,0.0099945
5,303.067,1.52909,2.44999,1.94217,0.24989,0.26799,0.18572,0.09894,1.69705,3.28146,2.15799,0.00999023,0.00999023,0.00999023
6,357.095,1.45404,2.29067,1.86318,0.28999,0.28357,0.21981,0.12556,1.6576,3.12339,2.08465,0.00998474,0.00998474,0.00998474
7,413.488,1.41364,2.1831,1.81566,0.31511,0.31122,0.25045,0.14319,1.64861,3.02641,2.0713,0.00997803,0.00997803,0.00997803
8,472.934,1.37768,2.08804,1.77592,0.34264,0.31352,0.27872,0.15956,1.61776,3.18397,2.01688,0.00997011,0.00997011,0.00997011
9,530.208,1.34222,2.00879,1.74523,0.33487,0.3266,0.28562,0.16291,1.59644,3.06289,2.02474,0.00996097,0.00996097,0.00996097
10,582.113,1.31995,1.94895,1.71925,0.41423,0.36695,0.34197,0.1985,1.55101,2.83751,1.93343,0.00995062,0.00995062,0.00995062
11,643.39,1.30169,1.88947,1.69801,0.45331,0.3796,0.37627,0.22372,1.53836,2.7651,1.94422,0.00993906,0.00993906,0.00993906
12,702.328,1.28243,1.84978,1.67938,0.46056,0.36509,0.38054,0.23201,1.51315,2.85884,1.91565,0.00992629,0.00992629,0.00992629
13,759.309,1.26634,1.80968,1.6654,0.44845,0.39047,0.38784,0.23819,1.47835,2.83864,1.8793,0.00991232,0.00991232,0.00991232
14,816.428,1.24253,1.76448,1.64609,0.52747,0.39912,0.41921,0.2554,1.47731,2.69077,1.88227,0.00989715,0.00989715,0.00989715
15,874.638,1.23696,1.74387,1.63446,0.52517,0.4347,0.44629,0.27591,1.4251,2.66857,1.83021,0.00988079,0.00988079,0.00988079
16,930.687,1.22182,1.70123,1.62162,0.55008,0.4251,0.45332,0.2803,1.44315,2.73403,1.84688,0.00986323,0.00986323,0.00986323
17,985.997,1.21526,1.68331,1.61307,0.53869,0.4421,0.46622,0.29198,1.41024,2.57751,1.79829,0.00984449,0.00984449,0.00984449
18,1036.88,1.20376,1.65865,1.60355,0.54261,0.45715,0.48114,0.30215,1.40318,2.62863,1.78752,0.00982456,0.00982456,0.00982456
19,1090.85,1.19734,1.63244,1.59089,0.56537,0.47002,0.49411,0.30866,1.37989,2.5267,1.76177,0.00980345,0.00980345,0.00980345
20,1140.53,1.18562,1.61325,1.58419,0.56898,0.46927,0.50314,0.31792,1.37978,2.56395,1.77414,0.00978118,0.00978118,0.00978118
21,1200.63,1.1806,1.58837,1.57128,0.57413,0.47393,0.51671,0.32765,1.36404,2.58443,1.74876,0.00975773,0.00975773,0.00975773
22,1254.86,1.166,1.57241,1.56656,0.58932,0.48049,0.5195,0.33004,1.35065,2.56988,1.74144,0.00973312,0.00973312,0.00973312
23,1313.33,1.16375,1.56739,1.56267,0.60462,0.49274,0.5308,0.34097,1.35757,2.52093,1.74319,0.00970736,0.00970736,0.00970736
24,1371.9,1.1558,1.54598,1.55121,0.64592,0.47415,0.53911,0.35092,1.33597,2.42527,1.72327,0.00968045,0.00968045,0.00968045
25,1428.44,1.14974,1.52108,1.54418,0.62694,0.48648,0.54648,0.35554,1.33344,2.508,1.71967,0.00965239,0.00965239,0.00965239
26,1487.12,1.15222,1.51554,1.54569,0.60756,0.5006,0.54687,0.35488,1.33501,2.48369,1.71895,0.0096232,0.0096232,0.0096232
27,1545.14,1.1436,1.49837,1.53598,0.63229,0.48459,0.55705,0.36281,1.325,2.43792,1.71441,0.00959289,0.00959289,0.00959289
28,1604.25,1.13503,1.48806,1.5321,0.64087,0.50279,0.56729,0.37074,1.31072,2.35983,1.6922,0.00956145,0.00956145,0.00956145
29,1662.58,1.12487,1.46616,1.52187,0.63576,0.51668,0.57048,0.37311,1.29395,2.42735,1.68225,0.00952889,0.00952889,0.00952889
30,1720.77,1.12422,1.46998,1.519,0.64767,0.51809,0.58015,0.38424,1.29359,2.39325,1.67838,0.00949524,0.00949524,0.00949524
31,1781.41,1.1193,1.44351,1.51138,0.66298,0.51364,0.58484,0.38562,1.29395,2.34563,1.67215,0.00946048,0.00946048,0.00946048
32,1840.04,1.11056,1.43417,1.50292,0.65747,0.52486,0.59268,0.39244,1.27211,2.30965,1.65822,0.00942464,0.00942464,0.00942464
33,1894.07,1.1085,1.42455,1.50378,0.67281,0.51983,0.58976,0.39118,1.26672,2.33261,1.64795,0.00938772,0.00938772,0.00938772
34,1952.58,1.10249,1.4116,1.49527,0.66912,0.53406,0.60382,0.4017,1.26632,2.28272,1.64337,0.00934973,0.00934973,0.00934973
35,2010.58,1.09619,1.40789,1.49416,0.68151,0.52985,0.60081,0.40023,1.259,2.32851,1.63805,0.00931067,0.00931067,0.00931067
36,2068.09,1.09735,1.39855,1.49149,0.66672,0.53137,0.60728,0.40519,1.26071,2.28634,1.64433,0.00927057,0.00927057,0.00927057
37,2125.89,1.09111,1.37962,1.48506,0.67074,0.53915,0.60715,0.40613,1.2542,2.30957,1.6309,0.00922942,0.00922942,0.00922942
